Opt. Const. of Gen-Osc vs. nm
Wavelength (nm)	n	k
245.776154	1.677799	0.008064
247.357712	1.676141	0.008042
248.939362	1.674525	0.008020
250.521072	1.672948	0.007997
252.102859	1.671410	0.007975
253.684723	1.669909	0.007952
255.266678	1.668444	0.007929
256.848694	1.667013	0.007906
258.430786	1.665616	0.007882
260.012939	1.664252	0.007859
261.595184	1.662919	0.007836
263.177490	1.661616	0.007812
264.759857	1.660343	0.007789
266.342346	1.659099	0.007765
267.924866	1.657882	0.007741
269.507477	1.656692	0.007718
271.090149	1.655528	0.007694
272.672882	1.654390	0.007670
274.255676	1.653275	0.007646
275.838562	1.652185	0.007622
277.421509	1.651117	0.007598
279.004547	1.650072	0.007574
280.587616	1.649049	0.007550
282.170776	1.648047	0.007526
283.753998	1.647066	0.007503
285.337280	1.646104	0.007479
286.920654	1.645162	0.007455
288.504089	1.644238	0.007431
290.087555	1.643333	0.007407
291.671112	1.642446	0.007383
293.254730	1.641576	0.007359
294.838409	1.640723	0.007335
296.422180	1.639887	0.007312
298.005981	1.639066	0.007288
299.589844	1.638261	0.007264
301.173767	1.637472	0.007241
302.757782	1.636697	0.007217
304.341858	1.635936	0.007193
305.925964	1.635190	0.007170
307.510162	1.634457	0.007147
309.094391	1.633738	0.007123
310.678680	1.633031	0.007100
312.263062	1.632337	0.007077
313.847473	1.631656	0.007053
315.431946	1.630987	0.007030
317.016510	1.630329	0.007007
318.601105	1.629683	0.006984
320.185730	1.629049	0.006961
321.770447	1.628425	0.006938
323.355225	1.627812	0.006916
324.940063	1.627209	0.006893
326.524963	1.626617	0.006870
328.109863	1.626034	0.006848
329.694885	1.625462	0.006825
331.279907	1.624898	0.006803
332.865021	1.624344	0.006781
334.450165	1.623800	0.006758
336.035370	1.623264	0.006736
337.620636	1.622737	0.006714
339.205933	1.622218	0.006692
340.791321	1.621708	0.006670
342.376709	1.621205	0.006649
343.962189	1.620711	0.006627
345.547699	1.620225	0.006605
347.133240	1.619746	0.006584
348.718872	1.619274	0.006562
350.304535	1.618810	0.006541
351.890259	1.618353	0.006520
353.476013	1.617903	0.006499
355.061829	1.617460	0.006477
356.647675	1.617024	0.006456
358.233582	1.616594	0.006436
359.819550	1.616170	0.006415
361.405548	1.615753	0.006394
362.991577	1.615342	0.006373
364.577698	1.614938	0.006353
366.163818	1.614539	0.006333
367.749969	1.614145	0.006312
369.336212	1.613758	0.006292
370.922485	1.613376	0.006272
372.508789	1.613000	0.006252
374.095154	1.612629	0.006232
375.681519	1.612263	0.006212
377.267975	1.611902	0.006192
378.854431	1.611547	0.006172
380.440979	1.611197	0.006153
382.027527	1.610851	0.006133
383.614105	1.610510	0.006114
385.200745	1.610174	0.006095
386.787445	1.609842	0.006075
388.374146	1.609515	0.006056
389.960907	1.609193	0.006037
391.547699	1.608874	0.006018
393.134552	1.608560	0.005999
394.721405	1.608250	0.005981
396.308289	1.607945	0.005962
397.895264	1.607643	0.005943
399.482239	1.607346	0.005925
401.069244	1.607052	0.005906
402.656311	1.606762	0.005888
404.243378	1.606476	0.005870
405.830505	1.606193	0.005852
407.417664	1.605915	0.005834
409.004822	1.605639	0.005816
410.592041	1.605368	0.005798
412.179291	1.605099	0.005780
413.766541	1.604835	0.005762
415.353912	1.604573	0.005745
416.941223	1.604315	0.005727
418.528625	1.604060	0.005710
420.116028	1.603808	0.005692
421.703461	1.603559	0.005675
423.290924	1.603313	0.005658
424.878418	1.603071	0.005641
426.465912	1.602831	0.005624
428.053467	1.602594	0.005607
429.641052	1.602360	0.005590
431.228668	1.602129	0.005573
432.816315	1.601901	0.005557
434.403961	1.601675	0.005540
435.991638	1.601452	0.005523
437.579346	1.601232	0.005507
439.167084	1.601014	0.005491
440.754822	1.600799	0.005474
442.342621	1.600586	0.005458
443.930420	1.600376	0.005442
445.518250	1.600168	0.005426
447.106110	1.599963	0.005410
448.694000	1.599760	0.005394
450.281891	1.599559	0.005379
451.869812	1.599361	0.005363
453.457764	1.599165	0.005347
455.045715	1.598971	0.005332
456.633698	1.598779	0.005316
458.221680	1.598590	0.005301
459.809723	1.598402	0.005285
461.397766	1.598217	0.005270
462.985840	1.598034	0.005255
464.573883	1.597852	0.005240
466.162018	1.597673	0.005225
467.750092	1.597496	0.005210
469.338226	1.597321	0.005195
470.926361	1.597147	0.005180
472.514557	1.596975	0.005166
474.102722	1.596806	0.005151
475.690918	1.596638	0.005136
477.279144	1.596472	0.005122
478.867340	1.596307	0.005107
480.455566	1.596145	0.005093
