Opt. Const. of AlPcCl vs. nm,,
nm	n	k
391.547699	2.794985	0.605333
393.134552	2.796248	0.551077
394.721405	2.792175	0.496568
396.308289	2.782604	0.44296
397.895264	2.76766	0.391485
399.482239	2.748003	0.343408
401.069244	2.725011	0.299435
402.656311	2.699694	0.259348
404.243378	2.672529	0.222949
405.830505	2.643866	0.190295
407.417664	2.614269	0.16155
409.004822	2.584623	0.136568
410.592041	2.55547	0.114669
412.179291	2.526803	0.095204
413.766541	2.498361	0.078042
415.353912	2.470217	0.063315
416.941223	2.442738	0.051038
418.528625	2.416244	0.040909
420.116028	2.390848	0.032586
421.703461	2.366524	0.025819
423.290924	2.343271	0.020463
424.878418	2.321085	0.016388
426.465912	2.299978	0.013575
428.053467	2.280138	0.012055
429.641052	2.262096	0.011678
431.228668	2.246215	0.011583
432.816315	2.23213	0.010747
434.403961	2.218608	0.008674
435.991638	2.204737	0.006049
437.579346	2.190407	0.003706
439.167084	2.176129	0.002117
440.754822	2.162293	0.00116
442.342621	2.149038	0.000658
443.93042	2.136402	0.000449
445.51825	2.124372	0.000393
447.10611	2.11288	0.000352
448.694	2.101782	0.00026
450.281891	2.090978	0.00015
451.869812	2.080427	6.2e-05
453.457764	2.070129	1.7e-05
455.045715	2.060079	2e-06
456.633698	2.050259	-0.0
458.22168	2.040643	-0.0
459.809723	2.031205	-0.0
461.397766	2.021925	-0.0
462.98584	2.012787	-0.0
464.573883	2.003773	-0.0
466.162018	1.99487	-0.0
467.750092	1.986063	-0.0
469.338226	1.977341	-0.0
470.926361	1.968691	-0.0
472.514557	1.960101	-0.0
474.102722	1.951559	-0.0
475.690918	1.943056	-0.0
477.279144	1.934578	-0.0
478.86734	1.926116	-0.0
480.455566	1.917657	-0.0
482.043854	1.90919	-0.0
483.632141	1.900702	-0.0
485.220367	1.892179	-0.0
486.808685	1.883604	-0.0
488.396973	1.874956	-0.0
489.985291	1.866201	3e-06
491.573578	1.8573	4.5e-05
493.161957	1.84824	0.000176
494.750305	1.839033	0.000447
496.338623	1.829715	0.000896
497.927002	1.820329	0.001528
499.515381	1.8109	0.00234
501.10376	1.801455	0.003328
502.692139	1.792032	0.004474
504.280518	1.782648	0.005731
505.868958	1.773296	0.007052
507.457336	1.76394	0.00839
509.045746	1.754512	0.009736
510.634186	1.744968	0.011122
512.222595	1.73529	0.012584
513.811035	1.725479	0.014156
515.399475	1.715551	0.015859
516.987915	1.705515	0.017692
518.576355	1.695375	0.019657
520.164795	1.685127	0.021755
521.753296	1.674769	0.023987
523.341675	1.664297	0.026355
524.930176	1.653703	0.02886
526.518677	1.64298	0.031506
528.107056	1.632112	0.0343
529.695557	1.621088	0.037259
531.283997	1.609905	0.040399
532.872437	1.598564	0.04374
534.460938	1.587074	0.047296
536.049377	1.575445	0.051066
537.637817	1.563675	0.055046
539.226257	1.551757	0.059234
540.814758	1.539669	0.063627
542.403198	1.527383	0.068245
543.991638	1.514882	0.073118
545.580078	1.502164	0.078282
547.168518	1.48923	0.083769
