Opt. Const. of Gen-Osc vs. nm
Wavelength (nm)	n	k
247.357712	1.946522	0.461608
248.939362	1.949394	0.456566
250.521072	1.952041	0.452139
252.102859	1.954571	0.448273
253.684723	1.957071	0.444905
255.266678	1.959608	0.441976
256.848694	1.962236	0.439424
258.430786	1.964995	0.437192
260.012939	1.967913	0.435226
261.595184	1.971013	0.433476
263.177490	1.974309	0.431895
264.759857	1.977811	0.430441
266.342346	1.981524	0.429074
267.924866	1.985452	0.427758
269.507477	1.989593	0.426460
271.090149	1.993944	0.425149
272.672882	1.998501	0.423797
274.255676	2.003257	0.422377
275.838562	2.008206	0.420865
277.421509	2.013339	0.419238
279.004547	2.018646	0.417475
280.587616	2.024117	0.415556
282.170776	2.029740	0.413462
283.753998	2.035503	0.411176
285.337280	2.041394	0.408681
286.920654	2.047398	0.405962
288.504089	2.053501	0.403003
290.087555	2.059687	0.399793
291.671112	2.065942	0.396317
293.254730	2.072247	0.392564
294.838409	2.078584	0.388524
296.422180	2.084937	0.384187
298.005981	2.091284	0.379544
299.589844	2.097607	0.374588
301.173767	2.103883	0.369313
302.757782	2.110093	0.363714
304.341858	2.116212	0.357787
305.925964	2.122219	0.351530
307.510162	2.128090	0.344943
309.094391	2.133801	0.338027
310.678680	2.139327	0.330784
312.263062	2.144644	0.323220
313.847473	2.149727	0.315341
315.431946	2.154550	0.307156
317.016510	2.159090	0.298675
318.601105	2.163321	0.289911
320.185730	2.167220	0.280879
321.770447	2.170763	0.271597
323.355225	2.173928	0.262084
324.940063	2.176694	0.252361
326.524963	2.179041	0.242452
328.109863	2.180950	0.232383
329.694885	2.182406	0.222181
331.279907	2.183393	0.211875
332.865021	2.183900	0.201498
334.450165	2.183917	0.191080
336.035370	2.183436	0.180657
337.620636	2.182454	0.170263
339.205933	2.180969	0.159933
340.791321	2.178982	0.149703
342.376709	2.176499	0.139610
343.962189	2.173526	0.129689
345.547699	2.170076	0.119977
347.133240	2.166161	0.110509
348.718872	2.161799	0.101318
350.304535	2.157010	0.092437
351.890259	2.151817	0.083899
353.476013	2.146245	0.075732
355.061829	2.140323	0.067965
356.647675	2.134082	0.060623
358.233582	2.127554	0.053730
359.819550	2.120775	0.047307
361.405548	2.113782	0.041373
362.991577	2.106614	0.035943
364.577698	2.099313	0.031031
366.163818	2.091922	0.026648
367.749969	2.084485	0.022802
369.336212	2.077051	0.019499
370.922485	2.069670	0.016742
372.508789	2.062400	0.014531
374.095154	2.055301	0.012866
375.681519	2.048449	0.011742
377.267975	2.041949	0.011152
378.854431	2.036027	0.011028
380.440979	2.030701	0.010977
382.027527	2.025753	0.010925
383.614105	2.021103	0.010875
385.200745	2.016701	0.010827
386.787445	2.012511	0.010780
388.374146	2.008510	0.010734
389.960907	2.004675	0.010690
391.547699	2.000992	0.010648
393.134552	1.997445	0.010607
394.721405	1.994022	0.010568
396.308289	1.990716	0.010531
397.895264	1.987515	0.010495
399.482239	1.984414	0.010461
401.069244	1.981404	0.010429
402.656311	1.978480	0.010398
404.243378	1.975636	0.010368
405.830505	1.972869	0.010341
407.417664	1.970172	0.010315
409.004822	1.967543	0.010290
410.592041	1.964978	0.010267
412.179291	1.962472	0.010245
413.766541	1.960024	0.010225
415.353912	1.957630	0.010206
416.941223	1.955287	0.010188
418.528625	1.952994	0.010172
420.116028	1.950747	0.010158
421.703461	1.948545	0.010144
423.290924	1.946386	0.010132
424.878418	1.944268	0.010121
426.465912	1.942189	0.010112
428.053467	1.940148	0.010104
429.641052	1.938142	0.010097
431.228668	1.936171	0.010091
432.816315	1.934234	0.010087
434.403961	1.932328	0.010083
435.991638	1.930453	0.010081
437.579346	1.928608	0.010080
439.167084	1.926791	0.010080
440.754822	1.925002	0.010082
442.342621	1.923239	0.010084
443.930420	1.921502	0.010088
445.518250	1.919789	0.010092
447.106110	1.918100	0.010098
448.694000	1.916434	0.010105
450.281891	1.914791	0.010112
451.869812	1.913169	0.010121
453.457764	1.911568	0.010131
455.045715	1.909987	0.010142
456.633698	1.908425	0.010154
458.221680	1.906883	0.010166
459.809723	1.905358	0.010180
461.397766	1.903852	0.010195
462.985840	1.902363	0.010210
464.573883	1.900890	0.010227
466.162018	1.899434	0.010244
467.750092	1.897993	0.010263
469.338226	1.896568	0.010282
470.926361	1.895157	0.010302
472.514557	1.893761	0.010323
474.102722	1.892379	0.010345
475.690918	1.891011	0.010368
477.279144	1.889655	0.010392
478.867340	1.888313	0.010417
480.455566	1.886983	0.010442
482.043854	1.885665	0.010468
483.632141	1.884359	0.010496
485.220367	1.883065	0.010523
486.808685	1.881781	0.010552
488.396973	1.880509	0.010582
489.985291	1.879247	0.010612
491.573578	1.877996	0.010643
493.161957	1.876754	0.010675
494.750305	1.875523	0.010708
