Opt. Const. of AlignedPFO vs. nm,,,,,,
nm	"n	 Ex"	"k	 Ex"	"n	 Ey"	"k	 Ey"	"n	 Ez"	"k	 Ez"
211	1.744138	0.089505	1.587016	0.357572	1.873647	0.099608
212	1.729742	0.09526	1.581526	0.378339	1.836884	0.105608
213	1.71794	0.102209	1.58206	0.399626	1.810738	0.115938
214	1.709691	0.109328	1.591775	0.419175	1.793963	0.125347
215	1.704001	0.114737	1.609701	0.433767	1.782112	0.13118
216	1.698464	0.119354	1.62981	0.443601	1.772189	0.134393
217	1.69496	0.123186	1.653322	0.446408	1.762933	0.13614
218	1.69619	0.12531	1.682859	0.440384	1.75388	0.137476
219	1.697402	0.125481	1.708622	0.431115	1.745124	0.139091
220	1.697371	0.124789	1.729337	0.419599	1.736802	0.141383
221	1.698122	0.124658	1.749815	0.403474	1.729165	0.144718
222	1.698647	0.124115	1.765313	0.384219	1.72276	0.149374
223	1.69852	0.122696	1.774891	0.363084	1.718366	0.155011
224	1.698732	0.121123	1.783638	0.340548	1.716218	0.160881
225	1.699581	0.119757	1.791334	0.318066	1.716146	0.166294
226	1.700839	0.118477	1.796277	0.296414	1.717525	0.170681
227	1.701834	0.116603	1.798273	0.274539	1.719342	0.174393
228	1.702086	0.114618	1.796125	0.253189	1.721507	0.178479
229	1.701683	0.113707	1.78879	0.23421	1.724725	0.183874
230	1.702663	0.113652	1.78148	0.21712	1.730692	0.191315
231	1.706293	0.113587	1.777667	0.201427	1.742649	0.199493
232	1.711036	0.112254	1.772974	0.187738	1.761558	0.204252
233	1.715977	0.108829	1.765583	0.175063	1.785854	0.201818
234	1.72103	0.103039	1.757059	0.161219	1.812267	0.189102
235	1.725148	0.095408	1.747736	0.147334	1.834752	0.16466
236	1.727192	0.086747	1.737414	0.135764	1.847684	0.132647
237	1.727597	0.077604	1.726862	0.12708	1.849653	0.098172
238	1.72676	0.068427	1.716814	0.120847	1.841082	0.06575
239	1.724127	0.059592	1.70735	0.115392	1.824186	0.039698
240	1.719647	0.051535	1.69817	0.110148	1.80401	0.022075
241	1.714133	0.044813	1.6886	0.106314	1.784138	0.011273
242	1.708288	0.039593	1.679277	0.104305	1.766266	0.005447
243	1.702632	0.035661	1.671994	0.10363	1.751195	0.002771
244	1.697352	0.032714	1.6667	0.103422	1.73884	0.001475
245	1.692402	0.030413	1.662071	0.102648	1.728278	0.000675
246	1.687644	0.028531	1.657324	0.1009	1.71901	0.000234
247	1.682954	0.026921	1.652147	0.09822	1.710795	0.000046
248	1.678641	0.025579	1.647399	0.095402	1.703465	0.000001
249	1.675109	0.024549	1.64418	0.093416	1.696865	0
250	1.672012	0.023756	1.641471	0.091898	1.690832	0
251	1.668787	0.023064	1.637651	0.089986	1.685261	0
252	1.665686	0.022264	1.633334	0.087411	1.680078	0
253	1.663199	0.021162	1.629861	0.084211	1.675226	0
254	1.660862	0.0199	1.626448	0.080688	1.670663	0
255	1.657862	0.018762	1.621473	0.07721	1.666352	0
256	1.654561	0.017799	1.615509	0.073648	1.662264	0
257	1.651958	0.016927	1.610331	0.069659	1.658374	0
258	1.649971	0.016079	1.605974	0.065945	1.654662	0
259	1.647679	0.015201	1.601093	0.063972	1.651111	0
260	1.64475	0.014349	1.595032	0.063594	1.647703	0
261	1.641543	0.013706	1.587978	0.062814	1.644426	0
262	1.638413	0.01341	1.58051	0.060826	1.641266	0
263	1.635653	0.013506	1.573849	0.059208	1.638214	0
264	1.633443	0.013918	1.568849	0.059128	1.63526	0
265	1.63162	0.014206	1.564941	0.059525	1.632393	0
266	1.629952	0.013958	1.561272	0.059106	1.629605	0
267	1.628193	0.013455	1.557076	0.05827	1.626888	0
268	1.626108	0.013257	1.551677	0.058102	1.624233	0
269	1.62385	0.013422	1.545411	0.058655	1.621633	0
270	1.621939	0.013531	1.539586	0.058977	1.619079	0
271	1.620591	0.013325	1.534933	0.058582	1.616557	0.000001
272	1.619295	0.012954	1.530758	0.058162	1.614055	0.00001
273	1.617542	0.012601	1.526303	0.058413	1.611564	0.00004
274	1.615515	0.012291	1.521718	0.058941	1.609082	0.000103
275	1.613681	0.011983	1.517538	0.058897	1.606607	0.000211
276	1.61216	0.011724	1.513786	0.058117	1.604142	0.000375
277	1.610625	0.011681	1.509819	0.057329	1.601693	0.000605
278	1.608826	0.01195	1.505145	0.057188	1.599267	0.00091
279	1.606994	0.012283	1.500184	0.057787	1.596874	0.001295
280	1.605483	0.012342	1.495601	0.059037	1.594521	0.001765
281	1.604299	0.012104	1.491541	0.060544	1.59222	0.002324
282	1.603037	0.011914	1.487534	0.06156	1.589984	0.002978
283	1.601378	0.012058	1.483159	0.061535	1.587831	0.003731
284	1.599546	0.012442	1.478437	0.061071	1.585791	0.004579
285	1.597947	0.012841	1.473541	0.061148	1.583888	0.005496
286	1.596751	0.013146	1.468668	0.062189	1.582132	0.006454
287	1.595741	0.013427	1.464065	0.063675	1.580526	0.007426
288	1.594684	0.013761	1.459949	0.065008	1.579065	0.008386
289	1.593557	0.014066	1.456195	0.065657	1.577741	0.009309
290	1.592474	0.014155	1.452458	0.065141	1.576535	0.010172
291	1.591524	0.013913	1.448445	0.063334	1.575423	0.010961
292	1.590671	0.013541	1.444081	0.061681	1.574383	0.011677
293	1.589848	0.013318	1.439346	0.062025	1.573402	0.01232
294	1.589026	0.01336	1.434318	0.064979	1.572468	0.012889
295	1.588248	0.013447	1.429274	0.06857	1.57157	0.013386
296	1.587561	0.01333	1.42448	0.070587	1.570699	0.013809
297	1.586884	0.012931	1.419778	0.070489	1.569843	0.014161
298	1.585982	0.012375	1.414514	0.069759	1.568993	0.014442
299	1.584637	0.011791	1.40807	0.069898	1.568139	0.014655
300	1.582941	0.011273	1.400675	0.071234	1.567273	0.014804
301	1.581239	0.010885	1.393253	0.073126	1.566388	0.014892
302	1.579843	0.010673	1.386658	0.074939	1.565476	0.014921
303	1.578745	0.010532	1.380885	0.07638	1.564529	0.014894
304	1.577737	0.010259	1.375383	0.07738	1.56354	0.014815
305	1.576629	0.009685	1.369646	0.077902	1.5625	0.014686
306	1.575399	0.008914	1.36364	0.078164	1.561397	0.014515
307	1.574112	0.008208	1.357597	0.078528	1.560227	0.014307
308	1.572824	0.007794	1.351691	0.079323	1.558981	0.01407
309	1.571456	0.007658	1.345425	0.080589	1.557653	0.01381
310	1.569849	0.007638	1.337904	0.082196	1.556235	0.013534
311	1.567868	0.00758	1.328322	0.08403	1.554719	0.013246
312	1.565629	0.007435	1.317132	0.086118	1.553092	0.012954
313	1.56343	0.007231	1.305749	0.088587	1.551333	0.012672
314	1.561558	0.006996	1.295564	0.091548	1.549428	0.012429
315	1.560008	0.006778	1.286806	0.095061	1.547378	0.012254
316	1.558461	0.00664	1.278421	0.099138	1.545185	0.012177
317	1.556598	0.006648	1.269304	0.103803	1.542859	0.012226
318	1.554294	0.006812	1.258976	0.108986	1.540414	0.012426
319	1.551787	0.007047	1.248143	0.114405	1.537869	0.012803
320	1.549346	0.007258	1.237635	0.119742	1.535252	0.013384
321	1.547166	0.00739	1.228013	0.124785	1.532605	0.014183
322	1.545143	0.007549	1.218709	0.129844	1.529966	0.015192
323	1.543102	0.007879	1.208871	0.135379	1.527361	0.016403
324	1.540885	0.008506	1.197728	0.141848	1.52481	0.017805
325	1.5385	0.009414	1.185344	0.149452	1.522332	0.019387
326	1.536072	0.010485	1.172367	0.158201	1.519945	0.021141
327	1.53372	0.011601	1.159461	0.168082	1.517665	0.023056
328	1.53151	0.012687	1.147009	0.179006	1.51551	0.025124
329	1.529401	0.013748	1.134799	0.190766	1.513505	0.027333
330	1.527337	0.014797	1.122539	0.20315	1.511682	0.029655
331	1.525274	0.01585	1.109989	0.215992	1.510054	0.032049
332	1.523255	0.016954	1.097456	0.229421	1.508623	0.034475
333	1.521361	0.018173	1.085545	0.243694	1.507382	0.036892
334	1.519672	0.019565	1.074877	0.259026	1.506316	0.039264
335	1.518197	0.021128	1.065611	0.275415	1.505402	0.041554
336	1.516774	0.02271	1.056789	0.292457	1.504608	0.043727
337	1.51522	0.024145	1.047289	0.309762	1.503889	0.04575
338	1.513369	0.025284	1.036057	0.327051	1.503176	0.047597
339	1.511222	0.026166	1.023453	0.344562	1.50237	0.049288
340	1.508927	0.026995	1.011123	0.362866	1.501412	0.050892
341	1.506634	0.027973	1.000776	0.382409	1.500276	0.052476
342	1.504459	0.029271	0.993809	0.403434	1.498953	0.054106
343	1.502312	0.030878	0.989549	0.425774	1.497449	0.055842
