Opt. Const. of AlignedPFO vs. nm,,,,,,
nm	"n	 Ex"	"k	 Ex"	"n	 Ey"	"k	 Ey"	"n	 Ez"	"k	 Ez"
211	1.718933	0.12278	1.58825	0.366048	1.743488	0.170937
212	1.706619	0.132782	1.589411	0.393487	1.713665	0.17981
213	1.696894	0.142034	1.594495	0.418137	1.694171	0.191578
214	1.690891	0.149982	1.606505	0.437571	1.682653	0.201452
215	1.686769	0.156747	1.625844	0.451016	1.67508	0.208528
216	1.683893	0.162504	1.650161	0.459664	1.669662	0.213691
217	1.683924	0.167284	1.677216	0.464479	1.665705	0.217714
218	1.686717	0.170472	1.705163	0.46375	1.663178	0.220942
219	1.690089	0.17089	1.732502	0.454705	1.66192	0.223238
220	1.693159	0.168844	1.757911	0.43623	1.661567	0.224463
221	1.696181	0.165827	1.779758	0.411994	1.661532	0.224611
222	1.698753	0.16251	1.796273	0.386175	1.661295	0.224192
223	1.700056	0.158941	1.80678	0.361181	1.660823	0.223822
224	1.700397	0.155455	1.812723	0.336853	1.660434	0.224038
225	1.700813	0.152552	1.815669	0.312886	1.660875	0.224947
226	1.701503	0.149993	1.816313	0.28938	1.662562	0.226031
227	1.702053	0.147035	1.814322	0.266853	1.665502	0.226778
228	1.702304	0.143765	1.809304	0.245808	1.669423	0.226761
229	1.70232	0.14096	1.801558	0.226633	1.67385	0.225937
230	1.702312	0.13885	1.792089	0.209645	1.678615	0.224538
231	1.702643	0.137047	1.781884	0.195182	1.683777	0.22276
232	1.703587	0.135276	1.77155	0.18327	1.689673	0.220705
233	1.705268	0.133476	1.761311	0.173589	1.696739	0.217892
234	1.707722	0.131475	1.751379	0.165812	1.70487	0.213598
235	1.710796	0.128768	1.742003	0.159515	1.7136	0.207194
236	1.714286	0.124876	1.733468	0.154142	1.722018	0.198223
237	1.717846	0.119601	1.72606	0.149148	1.729012	0.187049
238	1.721087	0.112867	1.719833	0.144211	1.734086	0.174377
239	1.723439	0.104968	1.714347	0.139463	1.737032	0.160832
240	1.724236	0.096411	1.709113	0.135085	1.737779	0.146976
241	1.723204	0.087744	1.703742	0.131184	1.73636	0.133366
242	1.720573	0.0796	1.698247	0.127579	1.732946	0.120549
243	1.716661	0.072468	1.692758	0.124016	1.727856	0.109045
244	1.712037	0.06636	1.687399	0.120264	1.721648	0.099353
245	1.707287	0.061183	1.682248	0.116327	1.715288	0.091552
246	1.702725	0.05679	1.677351	0.112379	1.709391	0.085102
247	1.698478	0.052992	1.67275	0.108595	1.704169	0.079443
248	1.694592	0.049641	1.668417	0.105066	1.699586	0.074049
249	1.690938	0.046666	1.664158	0.101679	1.695285	0.068503
250	1.687378	0.043993	1.659762	0.098294	1.690824	0.06286
251	1.683834	0.041439	1.655039	0.094785	1.686045	0.057325
252	1.680262	0.038764	1.64998	0.091156	1.680917	0.052085
253	1.676629	0.035896	1.64471	0.087509	1.675518	0.047318
254	1.672915	0.033152	1.639349	0.083945	1.670063	0.043089
255	1.669107	0.030873	1.633988	0.080554	1.664691	0.039286
256	1.665293	0.029016	1.628601	0.077384	1.659441	0.035785
257	1.66164	0.027243	1.62313	0.074471	1.654291	0.032469
258	1.658241	0.025306	1.61752	0.071847	1.649135	0.029231
259	1.654838	0.023378	1.611732	0.069556	1.643787	0.026109
260	1.651077	0.021746	1.605764	0.067666	1.638174	0.023258
261	1.646855	0.020599	1.599619	0.066247	1.632314	0.020836
262	1.642557	0.019946	1.593301	0.065365	1.626297	0.018993
263	1.638601	0.019767	1.586899	0.065013	1.620321	0.017861
264	1.635135	0.019904	1.580626	0.065069	1.61469	0.017375
265	1.632031	0.020058	1.574704	0.065406	1.609551	0.01732
266	1.629155	0.019956	1.569342	0.065901	1.604941	0.017484
267	1.626423	0.019648	1.564561	0.066439	1.600818	0.017664
268	1.623783	0.019383	1.560109	0.066919	1.597039	0.017667
269	1.62119	0.019366	1.555721	0.067244	1.593334	0.017462
270	1.618634	0.019489	1.551139	0.067322	1.589552	0.017183
271	1.616122	0.019503	1.546236	0.067153	1.585644	0.01697
272	1.613652	0.019222	1.541128	0.066917	1.581623	0.016956
273	1.611192	0.018814	1.535954	0.06681	1.577565	0.017269
274	1.608696	0.01858	1.530854	0.067022	1.573657	0.017974
275	1.606136	0.018761	1.525942	0.067683	1.570057	0.018967
276	1.603612	0.019278	1.52127	0.068691	1.566821	0.020117
277	1.601266	0.019925	1.516868	0.069893	1.563954	0.021301
278	1.599219	0.020515	1.512768	0.071142	1.561414	0.022396
279	1.597417	0.020966	1.508987	0.072296	1.559098	0.023296
280	1.595725	0.021249	1.505405	0.073288	1.556836	0.023996
281	1.594018	0.021343	1.501805	0.074104	1.55454	0.024583
282	1.59223	0.021328	1.497977	0.074727	1.552175	0.02514
283	1.590338	0.021352	1.493716	0.075147	1.549743	0.025748
284	1.588325	0.02156	1.488924	0.075373	1.547277	0.026485
285	1.586245	0.021978	1.483807	0.07549	1.54487	0.027411
286	1.584248	0.02249	1.478613	0.075588	1.542639	0.028489
287	1.582485	0.022972	1.473589	0.075758	1.540634	0.029633
288	1.581033	0.02334	1.468965	0.076085	1.538862	0.030762
289	1.579774	0.023609	1.464788	0.076596	1.537305	0.031797
290	1.57856	0.023814	1.460898	0.077253	1.535917	0.032664
291	1.577261	0.023982	1.457126	0.078016	1.534601	0.033301
292	1.575868	0.024104	1.453308	0.078848	1.533235	0.033735
293	1.574428	0.024149	1.449289	0.079712	1.531757	0.034035
294	1.572992	0.024091	1.44497	0.080605	1.530141	0.034269
295	1.571561	0.023935	1.440287	0.081546	1.528384	0.034503
296	1.57006	0.02374	1.435181	0.082552	1.526503	0.034797
297	1.568413	0.023571	1.429595	0.083642	1.524546	0.035209
298	1.566554	0.023482	1.423485	0.084834	1.522598	0.035747
299	1.564534	0.02349	1.416981	0.086126	1.520709	0.036367
300	1.562456	0.023588	1.410334	0.087505	1.518897	0.03702
301	1.560418	0.023773	1.403791	0.088959	1.517159	0.037661
302	1.558481	0.024025	1.397596	0.090471	1.515478	0.038247
303	1.556604	0.024289	1.391975	0.092027	1.513819	0.038738
304	1.554734	0.024508	1.386864	0.093638	1.512111	0.039103
305	1.55282	0.024624	1.381898	0.095346	1.510276	0.039375
306	1.550815	0.024638	1.376707	0.097192	1.508275	0.039606
307	1.548676	0.024609	1.370926	0.099224	1.506091	0.039847
308	1.546362	0.024597	1.364204	0.101487	1.503715	0.040147
309	1.543836	0.024663	1.356347	0.104018	1.501151	0.040552
310	1.541126	0.024864	1.347591	0.106822	1.498409	0.041107
311	1.538295	0.025256	1.33824	0.109897	1.495509	0.041855
312	1.535411	0.025895	1.32859	0.113238	1.492476	0.042836
313	1.532531	0.026825	1.318937	0.116837	1.489343	0.044087
314	1.529689	0.028019	1.309559	0.120685	1.486148	0.045644
315	1.526902	0.029412	1.300535	0.124801	1.482943	0.04754
316	1.524187	0.030941	1.291791	0.129228	1.47979	0.049809
317	1.521561	0.032551	1.283249	0.13401	1.476778	0.05248
318	1.519066	0.034254	1.274834	0.139191	1.474051	0.055564
319	1.51675	0.036091	1.266473	0.144815	1.471774	0.058945
320	1.514662	0.038103	1.258098	0.150918	1.47001	0.062455
321	1.512842	0.040318	1.249649	0.157478	1.468762	0.06593
322	1.511244	0.042636	1.241069	0.164452	1.467993	0.069216
323	1.509767	0.044874	1.232301	0.171796	1.467621	0.072166
324	1.50831	0.046856	1.22329	0.179474	1.467521	0.074641
325	1.506778	0.048418	1.21398	0.18745	1.46749	0.076515
326	1.505099	0.049578	1.204327	0.19571	1.467193	0.077786
327	1.503234	0.050551	1.194356	0.204358	1.466394	0.078674
328	1.501147	0.051559	1.184116	0.213532	1.465	0.079407
329	1.498802	0.052816	1.173666	0.223368	1.462983	0.080205
330	1.496198	0.054476	1.163065	0.234	1.460373	0.081276
331	1.493422	0.056544	1.152385	0.24556	1.457248	0.08282
332	1.490572	0.059	1.141706	0.258167	1.453743	0.085029
333	1.487743	0.061824	1.131152	0.271868	1.450091	0.088083
334	1.485029	0.064994	1.120868	0.286667	1.446665	0.092001
335	1.482523	0.068455	1.111001	0.302555	1.443718	0.096588
336	1.480318	0.072135	1.101701	0.31951	1.441374	0.101641
337	1.478503	0.075961	1.093114	0.337501	1.439689	0.106961
