Opt. Const. of Biaxial vs. nm
Wavelength (nm)	"n Ordinary"	"k Ordinary"	"n Extra-ordinary"	"k Extra-ordinary"
247.357712	1.669331	0.484047	1.545536	0.290051
248.939362	1.682539	0.473196	1.559280	0.286314
250.521072	1.694398	0.461554	1.572316	0.281522
252.102859	1.704878	0.449245	1.584569	0.275785
253.684723	1.713960	0.436388	1.595979	0.269214
255.266678	1.721626	0.423097	1.606502	0.261921
256.848694	1.727862	0.409481	1.616105	0.254012
258.430786	1.732654	0.395647	1.624766	0.245592
260.012939	1.735984	0.381700	1.632475	0.236760
261.595184	1.737831	0.367750	1.639228	0.227611
263.177490	1.738169	0.353913	1.645028	0.218232
264.759857	1.736969	0.340322	1.649883	0.208706
266.342346	1.734200	0.327128	1.653805	0.199107
267.924866	1.729838	0.314513	1.656803	0.189506
269.507477	1.723876	0.302693	1.658889	0.179963
271.090149	1.716341	0.291920	1.660065	0.170537
272.672882	1.707311	0.282479	1.660321	0.161278
274.255676	1.696935	0.274680	1.659626	0.152239
275.838562	1.685451	0.268834	1.657911	0.143486
277.421509	1.673205	0.265227	1.655053	0.135132
279.004547	1.660643	0.264074	1.650882	0.127403
280.587616	1.648310	0.265484	1.645250	0.120727
282.170776	1.636808	0.269411	1.638196	0.115784
283.753998	1.626749	0.275630	1.630211	0.113404
285.337280	1.618688	0.283718	1.622423	0.114205
286.920654	1.613049	0.293081	1.616434	0.118040
288.504089	1.610063	0.302999	1.613656	0.123629
290.087555	1.609727	0.312700	1.614376	0.128850
291.671112	1.611797	0.321448	1.617270	0.131814
293.254730	1.615816	0.328620	1.619917	0.132102
294.838409	1.621165	0.333774	1.620202	0.131296
296.422180	1.627142	0.336683	1.617774	0.132312
298.005981	1.633030	0.337338	1.614698	0.137794
299.589844	1.638167	0.335935	1.614786	0.148360
301.173767	1.641996	0.332838	1.621760	0.161713
302.757782	1.644104	0.328531	1.637179	0.173327
304.341858	1.644238	0.323568	1.659435	0.178457
305.925964	1.642307	0.318529	1.684449	0.174205
307.510162	1.638375	0.313971	1.707428	0.160448
309.094391	1.632643	0.310394	1.724537	0.139442
310.678680	1.625418	0.308210	1.733808	0.114696
312.263062	1.617088	0.307727	1.735210	0.089771
313.847473	1.608086	0.309130	1.730153	0.067416
315.431946	1.598853	0.312489	1.720755	0.049179
317.016510	1.589812	0.317759	1.709161	0.035456
318.601105	1.581336	0.324797	1.697084	0.025803
320.185730	1.573728	0.333385	1.685619	0.019356
321.770447	1.567205	0.343257	1.675288	0.015176
323.355225	1.561897	0.354123	1.666205	0.012466
324.940063	1.557846	0.365700	1.658253	0.010642
326.524963	1.555017	0.377734	1.651222	0.009330
328.109863	1.553318	0.390018	1.644897	0.008310
329.694885	1.552617	0.402408	1.639091	0.007464
331.279907	1.552766	0.414822	1.633650	0.006729
332.865021	1.553620	0.427241	1.628450	0.006077
334.450165	1.555055	0.439705	1.623379	0.005494
336.035370	1.556987	0.452298	1.618324	0.004979
337.620636	1.559382	0.465135	1.613160	0.004554
339.205933	1.562260	0.478344	1.607728	0.004281
340.791321	1.565703	0.492050	1.601846	0.004311
342.376709	1.569846	0.506355	1.595351	0.004940
343.962189	1.574877	0.521322	1.588201	0.006645
345.547699	1.581015	0.536959	1.580639	0.010043
347.133240	1.588504	0.553210	1.573341	0.015700
348.718872	1.597588	0.569949	1.567410	0.023805
350.304535	1.608490	0.586980	1.564106	0.033856
351.890259	1.621395	0.604040	1.564329	0.044584
353.476013	1.636434	0.620815	1.568126	0.054302
355.061829	1.653666	0.636952	1.574557	0.061562
356.647675	1.673074	0.652082	1.582076	0.065737
358.233582	1.694564	0.665837	1.589195	0.067183
359.819550	1.717962	0.677866	1.595050	0.066918
361.405548	1.743030	0.687859	1.599586	0.066058
362.991577	1.769471	0.695552	1.603351	0.065333
364.577698	1.796942	0.700742	1.607072	0.064877
366.163818	1.825070	0.703293	1.611269	0.064337
367.749969	1.853463	0.703134	1.616056	0.063151
369.336212	1.881727	0.700270	1.621157	0.060832
370.922485	1.909475	0.694770	1.626072	0.057154
372.508789	1.936338	0.686774	1.630265	0.052181
374.095154	1.961981	0.676480	1.633309	0.046213
375.681519	1.986110	0.664144	1.634961	0.039678
377.267975	2.008486	0.650069	1.635170	0.033029
378.854431	2.028930	0.634599	1.634048	0.026669
380.440979	2.047334	0.618102	1.631812	0.020900
382.027527	2.063667	0.600960	1.628733	0.015909
383.614105	2.077978	0.583547	1.625084	0.011777
385.200745	2.090395	0.566218	1.621104	0.008496
386.787445	2.101124	0.549284	1.616981	0.006002
388.374146	2.110433	0.532995	1.612836	0.004208
389.960907	2.118642	0.517525	1.608740	0.003029
391.547699	2.126096	0.502954	1.604721	0.002407
393.134552	2.133146	0.489268	1.600791	0.002326
394.721405	2.140118	0.476357	1.596978	0.002810
396.308289	2.147287	0.464021	1.593350	0.003913
397.895264	2.154853	0.451994	1.590038	0.005684
399.482239	2.162925	0.439964	1.587238	0.008129
401.069244	2.171510	0.427605	1.585189	0.011170
402.656311	2.180518	0.414603	1.584121	0.014609
404.243378	2.189768	0.400690	1.584196	0.018134
405.830505	2.199009	0.385660	1.585447	0.021357
407.417664	2.207941	0.369388	1.587738	0.023880
409.004822	2.216240	0.351838	1.590776	0.025375
410.592041	2.223587	0.333062	1.594155	0.025660
412.179291	2.229684	0.313190	1.597436	0.024725
413.766541	2.234279	0.292425	1.600224	0.022731
415.353912	2.237179	0.271016	1.602236	0.019965
416.941223	2.238253	0.249252	1.603333	0.016772
418.528625	2.237440	0.227434	1.603516	0.013490
420.116028	2.234745	0.205866	1.602900	0.010398
421.703461	2.230236	0.184836	1.601668	0.007688
423.290924	2.224033	0.164601	1.600026	0.005457
424.878418	2.216300	0.145386	1.598167	0.003723
426.465912	2.207234	0.127368	1.596247	0.002443
428.053467	2.197051	0.110683	1.594377	0.001543
429.641052	2.185977	0.095415	1.592623	0.000940
431.228668	2.174239	0.081609	1.591015	0.000554
432.816315	2.162055	0.069264	1.589557	0.000315
434.403961	2.149625	0.058349	1.588242	0.000175
435.991638	2.137130	0.048800	1.587051	0.000095
437.579346	2.124727	0.040532	1.585966	0.000051
439.167084	2.112546	0.033444	1.584970	0.000027
