nm	n	k
200.874191	1.794824	0.175801
202.461349	1.790431	0.164356
204.048492	1.78531	0.153422
205.63562	1.779511	0.14303
207.222748	1.773077	0.133209
208.809891	1.766052	0.123987
210.397003	1.758475	0.115393
211.9841	1.750385	0.107456
213.57122800000002	1.741821	0.10021
215.158295	1.732823	0.093691
216.74539199999998	1.723436	0.087938
218.33245799999997	1.71371	0.082991
219.91952500000002	1.703703	0.078895
221.506592	1.693482	0.075694
223.093658	1.683124	0.073427
224.68069500000001	1.67272	0.072131
226.2677	1.662371	0.071834
227.854736	1.652191	0.072551
229.441711	1.642304	0.074284
231.028748	1.632841	0.077013
232.61569200000002	1.623937	0.0807
234.202698	1.615726	0.085279
235.78964200000001	1.608337	0.090662
237.37658699999997	1.601888	0.096736
238.963531	1.59648	0.103365
240.55044600000002	1.592189	0.110392
242.13736	1.589067	0.117647
243.724243	1.587135	0.124951
245.311127	1.586381	0.132122
246.89798000000002	1.586764	0.138982
248.48483299999998	1.588212	0.145366
250.071686	1.590623	0.151122
251.65850799999998	1.593879	0.156121
253.2453	1.59784	0.160261
254.832092	1.602356	0.163463
256.418854	1.607273	0.165676
258.005615	1.612434	0.166877
259.592346	1.617687	0.167065
261.179077	1.622888	0.166263
262.765778	1.627903	0.164515
264.352478	1.632613	0.161878
265.939148	1.636913	0.158425
267.525787	1.640714	0.154236
269.112396	1.643942	0.149401
270.699036	1.64654	0.144011
272.285583	1.648465	0.13816
273.872162	1.649689	0.131941
275.45874	1.650197	0.125445
277.045258	1.649985	0.118757
278.631775	1.649058	0.111958
280.218262	1.647432	0.105123
281.804749	1.645129	0.098318
283.391174	1.642176	0.091604
284.9776	1.638604	0.085033
286.564026	1.63445	0.078651
288.150391	1.629749	0.072494
289.736755	1.624538	0.066595
291.323059	1.618855	0.060976
292.909393	1.612733	0.055656
294.495667	1.606207	0.050648
296.08194	1.599307	0.04596
297.668152	1.592061	0.041596
299.254395	1.584491	0.037556
300.840576	1.576619	0.033839
302.426727	1.568459	0.030442
304.012878	1.560023	0.027361
305.598999	1.551317	0.02459
307.185089	1.542344	0.022126
308.771149	1.533103	0.019968
310.357147	1.523587	0.018114
311.943176	1.513787	0.016569
313.529144	1.503692	0.015338
315.115082	1.493287	0.014434
316.701019	1.482554	0.013871
318.286926	1.471476	0.013672
319.872772	1.460034	0.013866
321.458618	1.448212	0.014486
323.044403	1.435992	0.015575
324.630188	1.423362	0.017181
326.215942	1.410312	0.019362
327.801636	1.396841	0.022181
