Opt. Const. of Biaxial vs. nm
Wavelength (nm)	n Ordinary	k Ordinary	n Extra-ordinary	k Extra-ordinary
245.776154	1.717230	0.312556	1.552478	0.335127
247.357712	1.715350	0.306562	1.488941	0.312210
248.939362	1.712883	0.301342	1.455283	0.327547
250.521072	1.709979	0.296942	1.441936	0.346940
252.102859	1.706790	0.293380	1.437416	0.364906
253.684723	1.703467	0.290652	1.437495	0.381498
255.266678	1.700155	0.288723	1.440511	0.396916
256.848694	1.696986	0.287537	1.445607	0.411245
258.430786	1.694078	0.287016	1.452262	0.424523
260.012939	1.691527	0.287063	1.460117	0.436768
261.595184	1.689407	0.287566	1.468906	0.447991
263.177490	1.687767	0.288408	1.478421	0.458204
264.759857	1.686630	0.289466	1.488488	0.467419
266.342346	1.685992	0.290621	1.498962	0.475654
267.924866	1.685829	0.291761	1.509712	0.482930
269.507477	1.686093	0.292787	1.520624	0.489271
271.090149	1.686719	0.293614	1.531595	0.494705
272.672882	1.687629	0.294178	1.542530	0.499264
274.255676	1.688736	0.294433	1.553342	0.502983
275.838562	1.689950	0.294355	1.563949	0.505897
277.421509	1.691181	0.293939	1.574271	0.508048
279.004547	1.692343	0.293200	1.584234	0.509476
280.587616	1.693355	0.292171	1.593763	0.510226
282.170776	1.694152	0.290897	1.602782	0.510345
283.753998	1.694677	0.289437	1.611212	0.509882
285.337280	1.694889	0.287858	1.618968	0.508896
286.920654	1.694763	0.286234	1.625958	0.507451
288.504089	1.694289	0.284640	1.632077	0.505627
290.087555	1.693472	0.283152	1.637205	0.503526
291.671112	1.692332	0.281840	1.641213	0.501283
293.254730	1.690903	0.280773	1.643959	0.499080
294.838409	1.689229	0.280007	1.645305	0.497161
296.422180	1.687368	0.279592	1.645129	0.495853
298.005981	1.685381	0.279565	1.643364	0.495574
299.589844	1.683339	0.279952	1.640032	0.496844
301.173767	1.681315	0.280763	1.635304	0.500268
302.757782	1.679383	0.281999	1.629555	0.506504
304.341858	1.677614	0.283643	1.623418	0.516194
305.925964	1.676079	0.285671	1.617819	0.529859
307.510162	1.674841	0.288042	1.613964	0.547774
309.094391	1.673955	0.290708	1.613262	0.569817
310.678680	1.673469	0.293613	1.617172	0.595370
312.263062	1.673418	0.296692	1.626997	0.623272
313.847473	1.673829	0.299876	1.643649	0.651894
315.431946	1.674716	0.303094	1.667484	0.679313
317.016510	1.676080	0.306273	1.698215	0.703549
318.601105	1.677912	0.309341	1.734952	0.722805
320.185730	1.680194	0.312230	1.776333	0.735654
321.770447	1.682894	0.314877	1.820689	0.741145
323.355225	1.685977	0.317223	1.866222	0.738838
324.940063	1.689394	0.319216	1.911163	0.728775
326.524963	1.693095	0.320814	1.953890	0.711420
328.109863	1.697024	0.321981	1.993013	0.687574
329.694885	1.701121	0.322690	2.027435	0.658281
331.279907	1.705323	0.322922	2.056369	0.624743
332.865021	1.709568	0.322669	2.079348	0.588225
334.450165	1.713794	0.321927	2.096201	0.549990
336.035370	1.717940	0.320704	2.107029	0.511224
337.620636	1.721947	0.319012	2.112158	0.472993
339.205933	1.725760	0.316871	2.112092	0.436204
340.791321	1.729325	0.314307	2.107462	0.401584
342.376709	1.732595	0.311351	2.098977	0.369672
343.962189	1.735527	0.308039	2.087372	0.340825
345.547699	1.738082	0.304411	2.073373	0.315229
347.133240	1.740225	0.300510	2.057661	0.292924
348.718872	1.741928	0.296383	2.040848	0.273827
350.304535	1.743169	0.292077	2.023462	0.257762
351.890259	1.743929	0.287642	2.005939	0.244488
353.476013	1.744196	0.283130	1.988625	0.233727
355.061829	1.743962	0.278590	1.971777	0.225183
356.647675	1.743227	0.274076	1.955580	0.218561
358.233582	1.741992	0.269637	1.940150	0.213581
359.819550	1.740266	0.265323	1.925554	0.209983
361.405548	1.738062	0.261183	1.911818	0.207535
362.991577	1.735399	0.257264	1.898937	0.206034
364.577698	1.732297	0.253610	1.886883	0.205301
366.163818	1.728783	0.250263	1.875615	0.205185
367.749969	1.724888	0.247262	1.865082	0.205554
369.336212	1.720644	0.244642	1.855223	0.206300
370.922485	1.716090	0.242435	1.845975	0.207329
372.508789	1.711265	0.240669	1.837271	0.208564
374.095154	1.706210	0.239366	1.829039	0.209944
375.681519	1.700971	0.238546	1.821209	0.211419
377.267975	1.695593	0.238222	1.813707	0.212955
378.854431	1.690121	0.238404	1.806464	0.214528
380.440979	1.684604	0.239094	1.799407	0.216129
382.027527	1.679088	0.240291	1.792470	0.217760
383.614105	1.673617	0.241989	1.785589	0.219435
385.200745	1.668235	0.244174	1.778707	0.221180
386.787445	1.662983	0.246832	1.771773	0.223029
388.374146	1.657900	0.249939	1.764747	0.225027
389.960907	1.653019	0.253471	1.757596	0.227227
391.547699	1.648369	0.257399	1.750300	0.229687
393.134552	1.643975	0.261691	1.742849	0.232469
394.721405	1.639855	0.266314	1.735248	0.235639
396.308289	1.636023	0.271233	1.727514	0.239261
397.895264	1.632483	0.276415	1.719673	0.243400
399.482239	1.629236	0.281826	1.711770	0.248117
401.069244	1.626276	0.287437	1.703857	0.253466
402.656311	1.623591	0.293222	1.695999	0.259495
404.243378	1.621165	0.299161	1.688270	0.266240
405.830505	1.618977	0.305238	1.680754	0.273730
407.417664	1.617005	0.311449	1.673540	0.281978
409.004822	1.615226	0.317793	1.666721	0.290984
410.592041	1.613616	0.324283	1.660396	0.300736
412.179291	1.612157	0.330938	1.654660	0.311203
413.766541	1.610834	0.337784	1.649606	0.322341
415.353912	1.609642	0.344860	1.645325	0.334094
416.941223	1.608584	0.352208	1.641896	0.346386
418.528625	1.607675	0.359874	1.639391	0.359135
420.116028	1.606944	0.367908	1.637870	0.372244
421.703461	1.606437	0.376360	1.637378	0.385611
423.290924	1.606214	0.385272	1.637946	0.399125
424.878418	1.606349	0.394683	1.639590	0.412672
426.465912	1.606935	0.404615	1.642311	0.426140
428.053467	1.608074	0.415078	1.646094	0.439414
429.641052	1.609881	0.426059	1.650909	0.452386
431.228668	1.612474	0.437525	1.656715	0.464953
432.816315	1.615974	0.449415	1.663456	0.477020
434.403961	1.620497	0.461644	1.671070	0.488498
435.991638	1.626149	0.474100	1.679481	0.499311
437.579346	1.633019	0.486647	1.688612	0.509392
439.167084	1.641174	0.499129	1.698376	0.518684
440.754822	1.650656	0.511373	1.708684	0.527141
442.342621	1.661476	0.523193	1.719446	0.534728
443.930420	1.673613	0.534401	1.730569	0.541418
445.518250	1.687014	0.544808	1.741961	0.547194
447.106110	1.701595	0.554233	1.753527	0.552050
448.694000	1.717239	0.562509	1.765179	0.555983
450.281891	1.733805	0.569486	1.776824	0.559003
451.869812	1.751129	0.575037	1.788375	0.561123
453.457764	1.769024	0.579059	1.799744	0.562364
455.045715	1.787290	0.581476	1.810844	0.562751
456.633698	1.805716	0.582241	1.821589	0.562318
458.221680	1.824080	0.581336	1.831891	0.561101
459.809723	1.842155	0.578774	1.841664	0.559147
461.397766	1.859710	0.574597	1.850814	0.556507
462.985840	1.876508	0.568884	1.859247	0.553243
