Opt. Const. of Biaxial vs. nm
Wavelength (nm)	"n Ordinary"	"k Ordinary"	"n Extra-ordinary"	"k Extra-ordinary"
340.00000	2.8140540	1.3353503	3.0806446	0.72059250
340.50000	2.8384433	1.3303434	3.0882243	0.70893997
341.00000	2.8628325	1.3253366	3.0958040	0.69728744
341.50000	2.8879542	1.3172839	3.1030738	0.68460059
342.00000	2.9130759	1.3092312	3.1103437	0.67191374
342.50000	2.9384460	1.2978663	3.1170267	0.65806115
343.00000	2.9638162	1.2865014	3.1237097	0.64420855
343.50000	2.9888867	1.2715696	3.1293997	0.62923342
344.00000	3.0139573	1.2566378	3.1350896	0.61425829
344.50000	3.0380212	1.2378904	3.1395217	0.59839877
345.00000	3.0620852	1.2191429	3.1439538	0.58253926
345.50000	3.0840557	1.1965840	3.1469761	0.56603044
346.00000	3.1060262	1.1740251	3.1499984	0.54952163
346.50000	3.1249771	1.1483352	3.1515189	0.53259823
347.00000	3.1439281	1.1226453	3.1530395	0.51567483
347.50000	3.1593847	1.0946028	3.1530149	0.49855939
348.00000	3.1748414	1.0665604	3.1529903	0.48144394
348.50000	3.1865486	1.0369211	3.1514063	0.46435201
349.00000	3.1982558	1.0072818	3.1498222	0.44726008
349.50000	3.2061429	0.9767717	3.1466935	0.43040094
350.00000	3.2140300	0.9462617	3.1435647	0.41354179
350.50000	3.2182100	0.9155248	3.1389409	0.39711724
351.00000	3.2223899	0.8847880	3.1343172	0.38069269
351.50000	3.2230227	0.8543188	3.1282685	0.36489668
352.00000	3.2236555	0.8238495	3.1222198	0.34910068
352.50000	3.2209085	0.7941047	3.1148480	0.33412072
353.00000	3.2181616	0.7643600	3.1074762	0.31914076
353.50000	3.2122587	0.7357919	3.0989208	0.30516072
354.00000	3.2063558	0.7072239	3.0903654	0.29118067
354.50000	3.1976000	0.6802592	3.0808411	0.27836202
355.00000	3.1888442	0.6532944	3.0713167	0.26554337
355.50000	3.1776854	0.6282589	3.0610873	0.25392344
356.00000	3.1665266	0.6032235	3.0508578	0.24230351
356.50000	3.1533811	0.5802389	3.0401027	0.23183960
357.00000	3.1402357	0.5572544	3.0293477	0.22137569
357.50000	3.1254313	0.5364090	3.0182005	0.21202803
358.00000	3.1106269	0.5155637	3.0070534	0.20268036
358.50000	3.0944771	0.4969436	2.9956219	0.19440676
359.00000	3.0783272	0.4783236	2.9841905	0.18613315
359.50000	3.0611604	0.4620113	2.9725647	0.17889168
360.00000	3.0439937	0.4456991	2.9609389	0.17165022
360.50000	3.0262344	0.4317224	2.9492023	0.16540682
361.00000	3.0084751	0.4177456	2.9374657	0.15916343
361.50000	2.9905069	0.4059281	2.9256873	0.15387646
362.00000	2.9725387	0.3941105	2.9139090	0.14858949
362.50000	2.9546107	0.3842440	2.9021530	0.14422400
363.00000	2.9366827	0.3743775	2.8903971	0.13985850
363.50000	2.9189634	0.3662586	2.8787235	0.13637953
364.00000	2.9012442	0.3581398	2.8670499	0.13290055
364.50000	2.8838570	0.3515667	2.8555120	0.13027160
365.00000	2.8664699	0.3449935	2.8439741	0.12764265
365.50000	2.8494719	0.3397803	2.8326268	0.12583110
366.00000	2.8324740	0.3345670	2.8212795	0.12401955
366.50000	2.8158875	0.3305843	2.8101765	0.12299160
367.00000	2.7993009	0.3266016	2.7990735	0.12196365
367.50000	2.7831572	0.3237443	2.7882733	0.12168131
368.00000	2.7670135	0.3208871	2.7774732	0.12139897
368.50000	2.7513471	0.3190632	2.7670302	0.12180346
369.00000	2.7356806	0.3172393	2.7565873	0.12220795
369.50000	2.7205210	0.3163525	2.7465417	0.12323985
370.00000	2.7053614	0.3154658	2.7364962	0.12427174
370.50000	2.6907327	0.3154241	2.7268740	0.12587428
