Opt. Const. of Glass_substrate_koeln vs. nm,,
nm,n,k
247.357712,1.570514,7.9e-05
248.939362,1.569226,7.5e-05
250.521072,1.567974,7.1e-05
252.102859,1.566757,6.7e-05
253.684723,1.565573,6.4e-05
255.266678,1.564421,6e-05
256.848694,1.5633,5.7e-05
258.430786,1.562207,5.4e-05
260.012939,1.561144,5.1e-05
261.595184,1.560108,4.8e-05
263.17749,1.559098,4.5e-05
264.759857,1.558113,4.3e-05
266.342346,1.557154,4e-05
267.924866,1.556217,3.8e-05
269.507477,1.555304,3.6e-05
271.090149,1.554413,3.3e-05
272.672882,1.553543,3.1e-05
274.255676,1.552694,3e-05
275.838562,1.551865,2.8e-05
277.421509,1.551055,2.6e-05
279.004547,1.550263,2.5e-05
280.587616,1.54949,2.3e-05
282.170776,1.548734,2.2e-05
283.753998,1.547996,2e-05
285.33728,1.547273,1.9e-05
286.920654,1.546567,1.8e-05
288.504089,1.545876,1.7e-05
290.087555,1.545199,1.6e-05
291.671112,1.544538,1.5e-05
293.25473,1.54389,1.4e-05
294.838409,1.543256,1.3e-05
296.42218,1.542635,1.2e-05
298.005981,1.542027,1.1e-05
299.589844,1.541432,1.1e-05
301.173767,1.540849,1e-05
302.757782,1.540277,9e-06
304.341858,1.539717,9e-06
305.925964,1.539168,8e-06
307.510162,1.53863,8e-06
309.094391,1.538103,7e-06
310.67868,1.537585,7e-06
312.263062,1.537078,6e-06
313.847473,1.53658,6e-06
315.431946,1.536092,6e-06
317.01651,1.535613,5e-06
318.601105,1.535143,5e-06
320.18573,1.534681,5e-06
321.770447,1.534228,4e-06
323.355225,1.533784,4e-06
324.940063,1.533347,4e-06
326.524963,1.532918,4e-06
328.109863,1.532497,3e-06
329.694885,1.532084,3e-06
331.279907,1.531677,3e-06
332.865021,1.531278,3e-06
334.450165,1.530886,3e-06
336.03537,1.5305,2e-06
337.620636,1.530121,2e-06
339.205933,1.529749,2e-06
340.791321,1.529382,2e-06
342.376709,1.529022,2e-06
343.962189,1.528668,2e-06
345.547699,1.52832,2e-06
347.13324,1.527977,2e-06
348.718872,1.52764,1e-06
350.304535,1.527309,1e-06
351.890259,1.526983,1e-06
353.476013,1.526662,1e-06
355.061829,1.526346,1e-06
356.647675,1.526036,1e-06
358.233582,1.52573,1e-06
359.81955,1.525429,1e-06
361.405548,1.525132,1e-06
362.991577,1.52484,1e-06
364.577698,1.524553,1e-06
366.163818,1.52427,1e-06
367.749969,1.523991,1e-06
369.336212,1.523716,1e-06
370.922485,1.523446,1e-06
372.508789,1.52318,1e-06
374.095154,1.522917,1e-06
375.681519,1.522658,1e-06
377.267975,1.522404,0.0
378.854431,1.522152,0.0
380.440979,1.521905,0.0
382.027527,1.521661,0.0
383.614105,1.52142,0.0
385.200745,1.521183,0.0
386.787445,1.52095,0.0
388.374146,1.520719,0.0
389.960907,1.520492,0.0
391.547699,1.520268,0.0
393.134552,1.520047,0.0
394.721405,1.519829,0.0
396.308289,1.519614,0.0
397.895264,1.519402,0.0
399.482239,1.519192,0.0
401.069244,1.518986,0.0
402.656311,1.518782,0.0
404.243378,1.518581,0.0
405.830505,1.518383,0.0
407.417664,1.518187,0.0
409.004822,1.517994,0.0
410.592041,1.517803,0.0
412.179291,1.517615,0.0
413.766541,1.517429,0.0
415.353912,1.517246,0.0
416.941223,1.517065,0.0
418.528625,1.516886,0.0
420.116028,1.51671,0.0
421.703461,1.516535,0.0
423.290924,1.516363,0.0
424.878418,1.516193,0.0
426.465912,1.516025,0.0
428.053467,1.515859,0.0
429.641052,1.515696,0.0
431.228668,1.515534,0.0
432.816315,1.515374,0.0
434.403961,1.515216,0.0
435.991638,1.51506,0.0
437.579346,1.514906,0.0
439.167084,1.514753,0.0
440.754822,1.514603,0.0
442.342621,1.514454,0.0
443.93042,1.514307,0.0
445.51825,1.514161,0.0
447.10611,1.514018,0.0
448.694,1.513875,0.0
450.281891,1.513735,0.0
451.869812,1.513596,0.0
453.457764,1.513459,0.0
455.045715,1.513323,0.0
456.633698,1.513189,0.0
458.22168,1.513056,0.0
459.809723,1.512925,0.0
461.397766,1.512795,0.0
462.98584,1.512667,0.0
464.573883,1.51254,0.0
466.162018,1.512415,0.0
