Opt. Const. of InPcCl vs. nm,,
nm	n	k
318.601105	0.855346	0.537977
320.18573	1.042208	0.547378
321.770447	1.160026	0.561597
323.355225	1.249081	0.590944
324.940063	1.330168	0.621174
326.524963	1.400745	0.643852
328.109863	1.457679	0.664545
329.694885	1.506996	0.688607
331.279907	1.555406	0.713213
332.865021	1.602534	0.73389
334.450165	1.645262	0.75084
336.03537	1.683744	0.766812
337.620636	1.72028	0.78265
339.205933	1.755931	0.797059
340.791321	1.790153	0.809243
342.376709	1.82227	0.819606
343.962189	1.852246	0.828748
345.547699	1.880217	0.837227
347.13324	1.906584	0.845559
348.718872	1.932	0.853967
350.304535	1.956889	0.862195
351.890259	1.981223	0.87005
353.476013	2.004837	0.877796
355.061829	2.027992	0.885892
356.647675	2.051218	0.894613
358.233582	2.075112	0.903992
359.81955	2.100322	0.913951
361.405548	2.127611	0.923991
362.991577	2.157247	0.933299
364.577698	2.189174	0.941234
366.163818	2.223259	0.947376
367.749969	2.25949	0.951391
369.336212	2.298051	0.952774
370.922485	2.338807	0.950546
372.508789	2.381065	0.943884
374.095154	2.423831	0.93239
375.681519	2.466327	0.916116
377.267975	2.508014	0.895106
378.854431	2.54843	0.869257
380.440979	2.586883	0.838339
382.027527	2.622338	0.80221
383.614105	2.653405	0.76136
385.200745	2.679284	0.716825
386.787445	2.69945	0.669473
388.374146	2.713326	0.620375
389.960907	2.72079	0.570856
391.547699	2.722065	0.522103
393.134552	2.717597	0.475174
394.721405	2.707978	0.431016
396.308289	2.694057	0.390552
397.895264	2.677225	0.354342
399.482239	2.658645	0.322079
401.069244	2.638982	0.293406
402.656311	2.618742	0.268018
404.243378	2.598342	0.245614
405.830505	2.578125	0.225905
407.417664	2.558431	0.208609
409.004822	2.539604	0.193299
410.592041	2.521773	0.179435
412.179291	2.504855	0.166496
413.766541	2.488492	0.154127
415.353912	2.472377	0.142341
416.941223	2.456399	0.131206
418.528625	2.440522	0.120776
420.116028	2.42476	0.111084
421.703461	2.40914	0.102142
423.290924	2.393715	0.093967
424.878418	2.378589	0.086543
426.465912	2.363854	0.079766
428.053467	2.349536	0.073512
429.641052	2.335618	0.067662
431.228668	2.322041	0.062128
432.816315	2.308748	0.056865
434.403961	2.295689	0.051832
435.991638	2.282788	0.046991
437.579346	2.269942	0.042378
439.167084	2.257119	0.038091
440.754822	2.244358	0.034228
