Opt. Const. of Gen-Osc vs. nm
Wavelength (nm)	n	k
245.776154	1.411822	0.002909
247.357712	1.411282	0.002905
248.939362	1.410756	0.002899
250.521072	1.410244	0.002894
252.102859	1.409746	0.002887
253.684723	1.409262	0.002880
255.266678	1.408789	0.002873
256.848694	1.408329	0.002864
258.430786	1.407881	0.002855
260.012939	1.407445	0.002845
261.595184	1.407019	0.002834
263.177490	1.406604	0.002822
264.759857	1.406199	0.002809
266.342346	1.405804	0.002796
267.924866	1.405418	0.002781
269.507477	1.405041	0.002766
271.090149	1.404673	0.002750
272.672882	1.404314	0.002733
274.255676	1.403963	0.002715
275.838562	1.403619	0.002696
277.421509	1.403283	0.002676
279.004547	1.402955	0.002655
280.587616	1.402633	0.002634
282.170776	1.402318	0.002612
283.753998	1.402010	0.002588
285.337280	1.401708	0.002565
286.920654	1.401411	0.002540
288.504089	1.401121	0.002515
290.087555	1.400836	0.002489
291.671112	1.400556	0.002462
293.254730	1.400282	0.002435
294.838409	1.400012	0.002407
296.422180	1.399747	0.002379
298.005981	1.399487	0.002350
299.589844	1.399231	0.002321
301.173767	1.398980	0.002291
302.757782	1.398732	0.002261
304.341858	1.398489	0.002231
305.925964	1.398249	0.002201
307.510162	1.398013	0.002170
309.094391	1.397780	0.002140
310.678680	1.397551	0.002109
312.263062	1.397325	0.002078
313.847473	1.397103	0.002047
315.431946	1.396883	0.002017
317.016510	1.396667	0.001986
318.601105	1.396453	0.001956
320.185730	1.396242	0.001926
321.770447	1.396035	0.001896
323.355225	1.395829	0.001866
324.940063	1.395627	0.001837
326.524963	1.395427	0.001809
328.109863	1.395229	0.001781
329.694885	1.395034	0.001753
331.279907	1.394842	0.001726
332.865021	1.394652	0.001700
334.450165	1.394464	0.001675
336.035370	1.394279	0.001650
337.620636	1.394096	0.001626
339.205933	1.393915	0.001603
340.791321	1.393736	0.001581
342.376709	1.393560	0.001560
343.962189	1.393387	0.001540
345.547699	1.393215	0.001521
347.133240	1.393047	0.001502
348.718872	1.392880	0.001486
350.304535	1.392717	0.001470
351.890259	1.392556	0.001455
353.476013	1.392398	0.001442
355.061829	1.392244	0.001430
356.647675	1.392093	0.001417
358.233582	1.391945	0.001404
359.819550	1.391800	0.001391
361.405548	1.391658	0.001378
362.991577	1.391518	0.001365
364.577698	1.391379	0.001352
366.163818	1.391244	0.001338
367.749969	1.391110	0.001325
369.336212	1.390978	0.001311
370.922485	1.390848	0.001298
372.508789	1.390720	0.001284
374.095154	1.390594	0.001270
375.681519	1.390469	0.001256
377.267975	1.390346	0.001242
378.854431	1.390225	0.001228
380.440979	1.390105	0.001215
382.027527	1.389987	0.001201
383.614105	1.389871	0.001187
385.200745	1.389756	0.001173
386.787445	1.389642	0.001159
388.374146	1.389530	0.001145
389.960907	1.389419	0.001132
391.547699	1.389310	0.001118
393.134552	1.389202	0.001104
394.721405	1.389095	0.001091
396.308289	1.388990	0.001077
397.895264	1.388886	0.001064
399.482239	1.388783	0.001050
401.069244	1.388681	0.001037
402.656311	1.388581	0.001024
404.243378	1.388481	0.001011
405.830505	1.388383	0.000998
407.417664	1.388286	0.000985
409.004822	1.388190	0.000972
410.592041	1.388095	0.000959
412.179291	1.388001	0.000946
413.766541	1.387908	0.000934
415.353912	1.387817	0.000921
416.941223	1.387726	0.000909
418.528625	1.387636	0.000897
420.116028	1.387547	0.000885
421.703461	1.387460	0.000873
423.290924	1.387373	0.000861
424.878418	1.387287	0.000849
426.465912	1.387202	0.000838
428.053467	1.387118	0.000826
429.641052	1.387034	0.000815
431.228668	1.386952	0.000804
432.816315	1.386871	0.000793
434.403961	1.386790	0.000782
435.991638	1.386710	0.000771
437.579346	1.386631	0.000760
439.167084	1.386553	0.000750
440.754822	1.386476	0.000739
442.342621	1.386400	0.000729
443.930420	1.386324	0.000719
445.518250	1.386249	0.000709
447.106110	1.386175	0.000699
448.694000	1.386101	0.000689
450.281891	1.386029	0.000679
451.869812	1.385957	0.000670
453.457764	1.385886	0.000660
455.045715	1.385815	0.000651
456.633698	1.385745	0.000642
458.221680	1.385676	0.000633
459.809723	1.385608	0.000624
461.397766	1.385540	0.000615
462.985840	1.385473	0.000606
464.573883	1.385407	0.000598
466.162018	1.385341	0.000589
