Opt. Const. of PFOGlassy0Vol% vs. nm,,,,
nm	"n	 Ordinary"	"k	 Ordinary"	"n	 Extra-ordinary"	"k	 Extra-ordinary"
210	1.58154	0.264675	1.741885	0.164716
211	1.584841	0.280574	1.702642	0.184854
212	1.591534	0.292667	1.686772	0.205253
213	1.600875	0.301171	1.680989	0.21326
214	1.611379	0.307733	1.673709	0.212513
215	1.621951	0.31288	1.659769	0.210837
216	1.634588	0.31747	1.643678	0.218144
217	1.651153	0.319955	1.637841	0.231449
218	1.669196	0.316926	1.640867	0.238546
219	1.686431	0.308925	1.642712	0.238775
220	1.70061	0.296772	1.640989	0.237876
221	1.711365	0.282937	1.637472	0.239101
222	1.719535	0.268223	1.63533	0.243791
223	1.725359	0.252486	1.637649	0.248874
224	1.727946	0.236019	1.64178	0.250465
225	1.727183	0.220361	1.643566	0.251218
226	1.723994	0.2064	1.645638	0.25547
227	1.719452	0.194256	1.652919	0.260449
228	1.713247	0.183333	1.663354	0.260925
229	1.705542	0.175223	1.671755	0.258173
230	1.698064	0.169959	1.678843	0.256594
231	1.691725	0.167309	1.688901	0.255345
232	1.687442	0.165406	1.701039	0.24989
233	1.683952	0.164037	1.709736	0.240631
234	1.68162	0.163703	1.714605	0.233468
235	1.681818	0.163711	1.722091	0.230289
236	1.683722	0.162295	1.73521	0.224873
237	1.686691	0.15941	1.749351	0.212423
238	1.690076	0.154202	1.759424	0.195491
239	1.692066	0.147075	1.765578	0.17779
240	1.692637	0.139636	1.769958	0.159587
241	1.692385	0.131677	1.772048	0.139314
242	1.690823	0.123472	1.768875	0.117728
243	1.68787	0.115386	1.75992	0.098877
244	1.683451	0.108234	1.748793	0.085783
245	1.678726	0.102787	1.739397	0.076452
246	1.674798	0.097963	1.731833	0.067746
247	1.670534	0.092943	1.723951	0.058927
248	1.666193	0.088828	1.715192	0.051314
249	1.662128	0.084998	1.706759	0.04567
250	1.65853	0.081374	1.699692	0.040904
251	1.654975	0.077297	1.693538	0.035669
252	1.651075	0.073185	1.686886	0.029915
253	1.646934	0.069102	1.679328	0.024662
254	1.642293	0.065096	1.671549	0.020657
255	1.637333	0.061643	1.664333	0.017484
256	1.632409	0.058535	1.657662	0.014452
257	1.627378	0.055576	1.650916	0.011339
258	1.622177	0.052905	1.643793	0.008567
259	1.616744	0.050448	1.636478	0.00656
260	1.611051	0.048664	1.629409	0.005312
261	1.605694	0.04743	1.622746	0.00457
262	1.600545	0.046265	1.616427	0.004122
263	1.595235	0.045458	1.610338	0.003951
264	1.590335	0.045022	1.604467	0.004098
265	1.585433	0.044568	1.598868	0.004574
266	1.580574	0.044515	1.593593	0.005336
267	1.575969	0.044701	1.588679	0.006332
268	1.571549	0.045037	1.584167	0.007476
269	1.56736	0.045575	1.580043	0.008637
270	1.56347	0.046065	1.576196	0.009683
271	1.559557	0.046523	1.572401	0.01063
272	1.555705	0.047109	1.568575	0.01167
273	1.551838	0.047839	1.564812	0.012993
274	1.548234	0.048919	1.561378	0.014595
275	1.545038	0.049867	1.55838	0.016251
276	1.541816	0.05062	1.555732	0.017733
277	1.538475	0.051552	1.55318	0.018981
278	1.535487	0.052667	1.550584	0.02014
279	1.532609	0.053507	1.547943	0.021365
280	1.529618	0.05441	1.545371	0.022738
281	1.526708	0.055391	1.542954	0.024223
282	1.523835	0.056455	1.540732	0.025777
283	1.521144	0.057628	1.538734	0.027344
284	1.518665	0.05873	1.536961	0.028841
285	1.516262	0.059658	1.535358	0.030181
286	1.513782	0.060497	1.533787	0.03131
287	1.511248	0.061353	1.532098	0.032342
288	1.50866	0.062283	1.530291	0.033453
289	1.506181	0.063414	1.528503	0.034798
290	1.504013	0.064448	1.527004	0.036322
291	1.501795	0.065262	1.525882	0.037783
292	1.499607	0.066123	1.525057	0.038941
293	1.497564	0.066779	1.524251	0.039664
294	1.495396	0.067173	1.52323	0.040095
295	1.492989	0.067468	1.521928	0.040418
296	1.490435	0.067808	1.520392	0.0408
297	1.487787	0.068047	1.518746	0.04129
298	1.484772	0.06831	1.517043	0.041856
299	1.481709	0.068913	1.51529	0.042466
300	1.478774	0.069376	1.513439	0.043116
301	1.475437	0.069744	1.511461	0.043889
302	1.471832	0.070471	1.509401	0.044882
303	1.468287	0.071531	1.507387	0.046182
304	1.464936	0.072664	1.50566	0.047735
305	1.461528	0.073705	1.504322	0.049298
306	1.458021	0.074904	1.503318	0.050629
307	1.454656	0.076103	1.502431	0.051518
308	1.451097	0.07709	1.501316	0.05201
309	1.447201	0.078244	1.499819	0.052322
310	1.443261	0.079605	1.497907	0.052662
311	1.439207	0.080994	1.495649	0.053217
312	1.434903	0.082515	1.493174	0.054078
313	1.430373	0.084337	1.490583	0.055293
314	1.425825	0.086564	1.487993	0.056904
315	1.421414	0.088989	1.4856	0.058923
316	1.416959	0.091529	1.483599	0.061163
317	1.41253	0.094362	1.48201	0.063369
318	1.408341	0.097261	1.48072	0.065297
319	1.404083	0.099971	1.479416	0.066769
320	1.399503	0.102737	1.477714	0.06797
321	1.394673	0.105752	1.47551	0.069237
322	1.389658	0.109075	1.472881	0.07089
323	1.384513	0.112775	1.470118	0.073205
324	1.379354	0.116882	1.467678	0.0761
325	1.374258	0.121335	1.465748	0.079263
326	1.369228	0.126099	1.464328	0.082392
327	1.364314	0.131173	1.463263	0.085209
328	1.359569	0.136447	1.462205	0.087625
329	1.354873	0.141805	1.460935	0.089799
330	1.350081	0.147314	1.459364	0.091894
331	1.34514	0.153112	1.457469	0.094065
332	1.34016	0.159377	1.45528	0.096455
333	1.335395	0.165986	1.45286	0.099175
334	1.330622	0.172619	1.450289	0.102323
335	1.325415	0.179641	1.447685	0.105993
336	1.32016	0.18758	1.445241	0.110264
337	1.315351	0.196137	1.443238	0.115045
338	1.310756	0.205006	1.441805	0.120099
339	1.306248	0.214493	1.440948	0.125194
340	1.302247	0.224698	1.44058	0.130114
341	1.298909	0.235216	1.440474	0.134702
342	1.295961	0.245869	1.44038	0.139029
343	1.293287	0.256795	1.440194	0.143233
344	1.290949	0.268054	1.439886	0.147445
345	1.288977	0.279631	1.439475	0.151784
346	1.287377	0.291516	1.439039	0.156334
347	1.286149	0.303709	1.438654	0.161111
348	1.285289	0.316232	1.438369	0.166116
349	1.284805	0.329125	1.438225	0.171351
350	1.284742	0.342474	1.438264	0.176819
351	1.285275	0.356339	1.43854	0.182508
352	1.286586	0.370557	1.439093	0.188385
353	1.288592	0.384934	1.439949	0.194418
354	1.291157	0.399561	1.441128	0.200575
355	1.294418	0.414586	1.442645	0.206826
356	1.298609	0.429947	1.444515	0.213136
357	1.303909	0.445465	1.446745	0.219467
358	1.310374	0.460723	1.449332	0.225779
359	1.31752	0.475371	1.452263	0.232036
360	1.324787	0.48994	1.45552	0.238207
361	1.332721	0.505158	1.459068	0.24427
362	1.342311	0.520469	1.462878	0.250228
363	1.353179	0.534761	1.466938	0.256091
364	1.36418	0.548168	1.471243	0.261865
365	1.375293	0.561653	1.475794	0.267555
366	1.387333	0.575382	1.480596	0.273165
367	1.400518	0.588744	1.485659	0.278695
