Opt. Const. of PFO158 vs. nm,,,,
nm	"n	 Ordinary"	"k	 Ordinary"	"n	 Extra-ordinary"	"k	 Extra-ordinary"
300	1.495456	0.069278	1.531579	0.021457
300.299988	1.494664	0.06929	1.531212	0.02141
300.600006	1.493871	0.069303	1.530845	0.021364
300.899994	1.493078	0.069316	1.530477	0.021317
301.200012	1.492265	0.069345	1.530075	0.021312
301.5	1.491441	0.069381	1.529655	0.021328
301.799988	1.490616	0.069417	1.529235	0.021343
302.100006	1.489779	0.069456	1.528807	0.021387
302.399994	1.488919	0.069499	1.528367	0.021487
302.700012	1.488059	0.069543	1.527926	0.021586
303	1.487198	0.069587	1.527485	0.021685
303.299988	1.486282	0.06965	1.527068	0.021861
303.600006	1.485366	0.069714	1.526651	0.022036
303.899994	1.48445	0.069778	1.526234	0.022211
304.200012	1.483502	0.069875	1.525848	0.022419
304.5	1.482539	0.069989	1.525477	0.022642
304.799988	1.481575	0.070103	1.525105	0.022866
305.100006	1.480608	0.070235	1.524751	0.023098
305.399994	1.479633	0.070405	1.524433	0.023344
305.700012	1.478658	0.070575	1.524114	0.02359
306	1.477682	0.070745	1.523795	0.023836
306.299988	1.476713	0.070946	1.523524	0.024079
306.600006	1.475744	0.071148	1.523254	0.024322
306.899994	1.474773	0.07135	1.522983	0.024566
307.200012	1.473805	0.071558	1.52273	0.024796
307.5	1.472836	0.071769	1.522487	0.02502
307.799988	1.471868	0.07198	1.522244	0.025244
308.100006	1.470894	0.072188	1.522004	0.025464
308.399994	1.469911	0.072391	1.521771	0.025674
308.700012	1.468928	0.072593	1.521538	0.025885
309	1.467944	0.072796	1.521305	0.026096
309.299988	1.466904	0.072985	1.521077	0.026302
309.600006	1.465864	0.073173	1.520849	0.026509
309.899994	1.464823	0.073362	1.520622	0.026716
310.200012	1.46372	0.073579	1.5204	0.026925
310.5	1.462587	0.073811	1.52018	0.027136
310.799988	1.461452	0.074043	1.519961	0.027347
311.100006	1.460301	0.074315	1.519748	0.027562
311.399994	1.459119	0.074665	1.519549	0.027784
311.700012	1.457935	0.075016	1.51935	0.028007
312	1.456751	0.075367	1.519151	0.02823
312.299988	1.455626	0.075817	1.518997	0.028451
312.600006	1.4545	0.076267	1.518843	0.028672
312.899994	1.453374	0.076718	1.518689	0.028893
313.200012	1.452299	0.077167	1.518567	0.029091
313.5	1.451251	0.077614	1.518462	0.029278
313.799988	1.450201	0.078062	1.518356	0.029464
314.100006	1.44915	0.078489	1.518263	0.029629
314.399994	1.448096	0.078873	1.518192	0.02975
314.700012	1.44704	0.079258	1.518121	0.02987
315	1.445985	0.079643	1.518051	0.029991
315.299988	1.444857	0.080011	1.517984	0.030015
315.600006	1.443729	0.08038	1.517916	0.030039
315.899994	1.442601	0.080749	1.517849	0.030063
316.200012	1.441428	0.081143	1.51774	0.030009
316.5	1.440233	0.08155	1.517611	0.029915
316.799988	1.439037	0.081958	1.517481	0.029821
317.100006	1.43783	0.082379	1.517303	0.029705
317.399994	1.436601	0.082827	1.517028	0.029543
317.700012	1.435371	0.083275	1.516753	0.029382
318	1.43414	0.083725	1.516477	0.02922
318.299988	1.432871	0.084191	1.516032	0.029077
318.600006	1.4316	0.084658	1.515587	0.028935
318.899994	1.430329	0.085126	1.515141	0.028791
319.200012	1.429003	0.085611	1.514593	0.028716
319.5	1.427649	0.086104	1.513992	0.028675
319.799988	1.426294	0.086599	1.513391	0.028633
320.100006	1.424906	0.087121	1.512755	0.028652
320.399994	1.423455	0.087698	1.512049	0.028792
320.700012	1.422003	0.088276	1.511342	0.028932
321	1.420549	0.088856	1.510635	0.029073
321.299988	1.419039	0.089569	1.509933	0.029456
321.600006	1.417527	0.090283	1.509232	0.029839
321.899994	1.416014	0.090998	1.508531	0.030223
322.200012	1.414502	0.091802	1.507925	0.030736
322.5	1.412989	0.092652	1.507366	0.031313
322.799988	1.411475	0.093503	1.506807	0.031891
323.100006	1.40997	0.094392	1.506315	0.032501
323.399994	1.408485	0.095356	1.505957	0.033175
323.700012	1.407	0.096321	1.505598	0.033849
324	1.405514	0.097289	1.50524	0.034524
324.299988	1.404075	0.098342	1.505095	0.035202
324.600006	1.402636	0.099398	1.504949	0.03588
324.899994	1.401197	0.100456	1.504804	0.036558
325.200012	1.399792	0.101551	1.504788	0.037178
325.5	1.398404	0.102666	1.504836	0.03777
325.799988	1.397015	0.103784	1.504884	0.038362
326.100006	1.395638	0.104913	1.504975	0.038898
326.399994	1.394285	0.106062	1.505151	0.039325
326.700012	1.392932	0.107213	1.505327	0.039751
327	1.391579	0.108367	1.505503	0.040178
327.299988	1.390235	0.109549	1.505714	0.040425
327.600006	1.388892	0.110733	1.505924	0.040673
327.899994	1.387548	0.111919	1.506135	0.04092
328.200012	1.386205	0.113133	1.506331	0.041061
