Opt. Const. of PFOGlassy vs. nm,,,,
nm	"n	 Ordinary"	"k	 Ordinary"	"n	 Extra-ordinary"	"k	 Extra-ordinary"
300	1.478774	0.069376	1.513439	0.043116
300.299988	1.477773	0.069486	1.512846	0.043348
300.600006	1.476772	0.069596	1.512252	0.04358
300.899994	1.475771	0.069707	1.511658	0.043812
301.200012	1.474716	0.069889	1.511049	0.044088
301.5	1.473635	0.070107	1.510431	0.044385
301.799988	1.472553	0.070325	1.509813	0.044683
302.100006	1.471478	0.070577	1.509199	0.045012
302.399994	1.470415	0.070894	1.508595	0.045402
302.700012	1.469351	0.071212	1.507991	0.045792
303	1.468287	0.071531	1.507387	0.046182
303.299988	1.467283	0.07187	1.506869	0.046648
303.600006	1.466278	0.07221	1.506351	0.047113
303.899994	1.465272	0.072551	1.505833	0.047579
304.200012	1.464255	0.072872	1.505393	0.048047
304.5	1.463233	0.073184	1.504991	0.048516
304.799988	1.462211	0.073496	1.50459	0.048985
305.100006	1.461178	0.073824	1.504222	0.049431
305.399994	1.460127	0.074184	1.50392	0.04983
305.700012	1.459074	0.074544	1.503619	0.050229
306	1.458021	0.074904	1.503318	0.050629
306.299988	1.457012	0.075263	1.503052	0.050895
306.600006	1.456003	0.075623	1.502786	0.051162
306.899994	1.454993	0.075983	1.50252	0.051429
307.200012	1.453945	0.0763	1.502208	0.051616
307.5	1.452877	0.076596	1.501873	0.051764
307.799988	1.451809	0.076892	1.501539	0.051912
308.100006	1.450707	0.077205	1.501166	0.052042
308.399994	1.449539	0.077551	1.500717	0.052135
308.700012	1.448371	0.077897	1.500268	0.052229
309	1.447201	0.078244	1.499819	0.052322
309.299988	1.44602	0.078652	1.499246	0.052424
309.600006	1.444838	0.07906	1.498672	0.052526
309.899994	1.443656	0.079469	1.498098	0.052628
310.200012	1.442451	0.079882	1.497456	0.052773
310.5	1.441235	0.080298	1.496778	0.052939
310.799988	1.440019	0.080715	1.496101	0.053106
311.100006	1.438777	0.081145	1.495402	0.053303
311.399994	1.437487	0.081601	1.494659	0.053561
311.700012	1.436195	0.082058	1.493917	0.05382
312	1.434903	0.082515	1.493173	0.054078
312.299988	1.433545	0.08306	1.492397	0.054442
312.600006	1.432186	0.083607	1.491619	0.054807
312.899994	1.430826	0.084155	1.490842	0.055171
313.200012	1.429464	0.084782	1.490065	0.055615
313.5	1.4281	0.085449	1.489288	0.056098
313.799988	1.426735	0.086118	1.488511	0.056581
314.100006	1.425384	0.086806	1.487754	0.057106
314.399994	1.424062	0.087532	1.487036	0.057711
314.700012	1.422738	0.08826	1.486318	0.058317
315	1.421414	0.088989	1.4856	0.058923
315.299988	1.420078	0.089749	1.484999	0.059594
315.600006	1.418742	0.090511	1.484399	0.060266
315.899994	1.417405	0.091274	1.483799	0.060939
316.200012	1.416074	0.092094	1.483281	0.061604
316.5	1.414745	0.092943	1.482804	0.062265
316.799988	1.413416	0.093793	1.482328	0.062927
317.100006	1.412111	0.094651	1.481881	0.063561
317.399994	1.410855	0.095519	1.481494	0.06414
317.700012	1.409598	0.096389	1.481107	0.064718
318	1.408341	0.097261	1.48072	0.065297
318.299988	1.407064	0.098072	1.480329	0.065739
318.600006	1.405787	0.098885	1.479938	0.06618
318.899994	1.40451	0.099699	1.479547	0.066622
319.200012	1.403168	0.100523	1.479076	0.067009
319.5	1.401794	0.101351	1.478565	0.067369
319.799988	1.40042	0.102182	1.478054	0.067729
320.100006	1.399021	0.103037	1.477494	0.068096
320.399994	1.397572	0.10394	1.476833	0.068476
320.700012	1.396123	0.104845	1.476171	0.068856
321	1.394673	0.105752	1.47551	0.069237
321.299988	1.393169	0.106746	1.474722	0.069732
321.600006	1.391665	0.107743	1.473933	0.070228
321.899994	1.39016	0.108742	1.473144	0.070724
322.200012	1.388629	0.109813	1.472328	0.071352
322.5	1.387086	0.110921	1.471499	0.072046
322.799988	1.385543	0.112032	1.47067	0.072741
323.100006	1.383997	0.113184	1.469874	0.073494
323.399994	1.38245	0.114414	1.469142	0.074362
323.700012	1.380902	0.115646	1.46841	0.07523
324	1.379354	0.116882	1.467678	0.0761
324.299988	1.377825	0.118214	1.467098	0.077048
324.600006	1.376297	0.11955	1.466519	0.077997
324.899994	1.374768	0.120888	1.46594	0.078946
325.200012	1.373252	0.122285	1.465463	0.079888
325.5	1.371743	0.123712	1.465037	0.080827
325.799988	1.370234	0.125143	1.464612	0.081766
326.100006	1.368737	0.126605	1.464221	0.082674
326.399994	1.367262	0.128124	1.463902	0.083518
326.700012	1.365788	0.129647	1.463582	0.084363
327	1.364314	0.131173	1.463263	0.085209
327.299988	1.36289	0.132752	1.462946	0.085933
327.600006	1.361466	0.134333	1.462628	0.086658
327.899994	1.360043	0.135918	1.462311	0.087384
328.200012	1.358629	0.137516	1.461951	0.08806
328.5	1.35722	0.139121	1.46157	0.088712
328.799988	1.355811	0.14073	1.461189	0.089364
329.100006	1.354393	0.142354	1.460777	0.090008
329.399994	1.352955	0.144004	1.460306	0.090636
329.700012	1.351518	0.145657	1.459835	0.091265
330	1.350081	0.147314	1.459364	0.091894
330.299988	1.348598	0.149049	1.458795	0.092545
330.600006	1.347115	0.150788	1.458227	0.093196
330.899994	1.345634	0.152531	1.457658	0.093848
331.200012	1.344143	0.154362	1.457031	0.094543
331.5	1.342648	0.156239	1.456374	0.095259
331.799988	1.341154	0.158121	1.455718	0.095977
332.100006	1.339682	0.160036	1.455038	0.096727
332.399994	1.338251	0.162015	1.454312	0.097542
332.700012	1.336822	0.163998	1.453586	0.098358
333	1.335395	0.165986	1.45286	0.099175
333.299988	1.33396	0.167971	1.452088	0.100118
333.600006	1.332528	0.16996	1.451317	0.101062
333.899994	1.331098	0.171954	1.450546	0.102007
334.200012	1.329579	0.174019	1.449768	0.103056
334.5	1.328016	0.176123	1.448987	0.104156
