Opt. Const. of Gen-Osc vs. nm
Wavelength (nm)	n	k
295.000000	1.47876	0.290530
299.000000	1.48624	0.316280
302.000000	1.50197	0.342660
306.000000	1.52760	0.365120
310.000000	1.56132	0.377190
314.000000	1.59597	0.374150
318.000000	1.62199	0.357700
322.000000	1.63373	0.335610
326.000000	1.63190	0.316120
331.000000	1.62059	0.304110
335.000000	1.60389	0.301310
340.000000	1.58468	0.308120
344.000000	1.56485	0.324940
349.000000	1.54604	0.352960
354.000000	1.53053	0.394560
359.000000	1.52288	0.453540
365.000000	1.53274	0.534380
370.000000	1.57984	0.637820
376.000000	1.69631	0.745380
382.000000	1.90105	0.792270
388.000000	2.12448	0.696440
394.000000	2.23775	0.494890
400.000000	2.22751	0.309890
407.000000	2.16357	0.189500
413.000000	2.09252	0.120840
420.000000	2.02990	0.0835000
428.000000	1.97817	0.0639300
435.000000	1.93605	0.0545600
443.000000	1.90169	0.0513200
451.000000	1.87353	0.0520500
459.000000	1.85050	0.0556300
468.000000	1.83205	0.0612800
477.000000	1.81822	0.0682700
486.000000	1.80978	0.0762600
496.000000	1.80801	0.0836800
506.000000	1.81332	0.0866600
517.000000	1.82178	0.0802400
528.000000	1.82492	0.0649100
539.000000	1.81914	0.0486100
551.000000	1.80854	0.0366200
564.000000	1.79714	0.0287000
577.000000	1.78636	0.0233600
590.000000	1.77643	0.0195700
605.000000	1.76728	0.0167800
620.000000	1.75880	0.0146800
636.000000	1.75090	0.0130900
653.000000	1.74351	0.0118800
670.000000	1.73653	0.0109400
689.000000	1.72991	0.0102100
709.000000	1.72356	0.0096200
729.000000	1.71742	0.0091400
752.000000	1.71142	0.0087200
775.000000	1.70549	0.0083500
800.000000	1.69957	0.0080000
827.000000	1.69359	0.0076600
