Opt. Const. of SubNc vs. nm,,,,
nm	"n	 Ordinary"	"k	 Ordinary"	"n	 Extra-ordinary"	"k	 Extra-ordinary"
350.000000	2.249764	0.426481	1.792130	0.102327
351.000000	2.248822	0.410462	1.790668	0.100683
352.000000	2.246866	0.394804	1.789212	0.099060
353.000000	2.243973	0.379598	1.787763	0.097458
354.000000	2.240224	0.364922	1.786318	0.095877
355.000000	2.235709	0.350839	1.784878	0.094317
356.000000	2.230518	0.337399	1.783442	0.092779
357.000000	2.224743	0.324635	1.782010	0.091262
358.000000	2.218474	0.312571	1.780582	0.089766
359.000000	2.211799	0.301217	1.779156	0.088291
360.000000	2.204801	0.290571	1.777733	0.086838
361.000000	2.197558	0.280625	1.776312	0.085405
362.000000	2.190142	0.271360	1.774893	0.083994
363.000000	2.182619	0.262751	1.773476	0.082603
364.000000	2.175046	0.254768	1.772061	0.081233
365.000000	2.167474	0.247377	1.770647	0.079884
366.000000	2.159948	0.240540	1.769234	0.078556
367.000000	2.152503	0.234219	1.767822	0.077248
368.000000	2.145170	0.228372	1.766412	0.075960
369.000000	2.137972	0.222960	1.765002	0.074693
370.000000	2.130927	0.217944	1.763593	0.073445
371.000000	2.124048	0.213286	1.762184	0.072218
372.000000	2.117343	0.208949	1.760776	0.071011
373.000000	2.110817	0.204898	1.759368	0.069824
374.000000	2.104469	0.201104	1.757961	0.068656
375.000000	2.098297	0.197535	1.756554	0.067508
376.000000	2.092297	0.194167	1.755147	0.066379
377.000000	2.086461	0.190974	1.753741	0.065270
378.000000	2.080782	0.187935	1.752334	0.064180
379.000000	2.075249	0.185031	1.750928	0.063109
380.000000	2.069853	0.182246	1.749521	0.062057
381.000000	2.064580	0.179564	1.748114	0.061025
382.000000	2.059420	0.176974	1.746708	0.060011
383.000000	2.054360	0.174465	1.745301	0.059016
384.000000	2.049384	0.172028	1.743894	0.058039
385.000000	2.044480	0.169656	1.742488	0.057081
386.000000	2.039629	0.167345	1.741081	0.056142
387.000000	2.034815	0.165095	1.739673	0.055221
388.000000	2.030017	0.162907	1.738266	0.054319
389.000000	2.025214	0.160791	1.736859	0.053434
390.000000	2.020386	0.158762	1.735451	0.052568
391.000000	2.015511	0.156848	1.734043	0.051721
392.000000	2.010575	0.155085	1.732635	0.050891
393.000000	2.005575	0.153526	1.731228	0.050080
394.000000	2.000526	0.152229	1.729819	0.049286
395.000000	1.995468	0.151262	1.728411	0.048511
396.000000	1.990470	0.150684	1.727003	0.047753
397.000000	1.985636	0.150539	1.725595	0.047014
398.000000	1.981097	0.150837	1.724187	0.046292
399.000000	1.977002	0.151539	1.722780	0.045589
400.000000	1.973496	0.152548	1.721372	0.044903
401.000000	1.970696	0.153709	1.719965	0.044235
402.000000	1.968668	0.154817	1.718558	0.043585
403.000000	1.967404	0.155639	1.717152	0.042952
404.000000	1.966814	0.155947	1.715746	0.042338
405.000000	1.966728	0.155549	1.714341	0.041741
406.000000	1.966919	0.154317	1.712937	0.041162
407.000000	1.967125	0.152207	1.711534	0.040601
408.000000	1.967091	0.149265	1.710132	0.040058
409.000000	1.966596	0.145613	1.708730	0.039532
410.000000	1.965477	0.141432	1.707331	0.039024
411.000000	1.963645	0.136935	1.705932	0.038533
412.000000	1.961083	0.132333	1.704536	0.038060
413.000000	1.957838	0.127819	1.703141	0.037605
414.000000	1.954006	0.123543	1.701748	0.037167
415.000000	1.949709	0.119607	1.700357	0.036747
416.000000	1.945075	0.116067	1.698969	0.036344
417.000000	1.940228	0.112933	1.697583	0.035959
418.000000	1.935271	0.110185	1.696200	0.035591
419.000000	1.930283	0.107780	1.694820	0.035240
420.000000	1.925318	0.105667	1.693443	0.034906
421.000000	1.920408	0.103790	1.692069	0.034590
422.000000	1.915565	0.102100	1.690699	0.034290
423.000000	1.910789	0.100555	1.689332	0.034008
424.000000	1.906072	0.099122	1.687970	0.033742
425.000000	1.901398	0.097776	1.686612	0.033492
426.000000	1.896753	0.096502	1.685259	0.033260
427.000000	1.892119	0.095291	1.683910	0.033043
428.000000	1.887482	0.094137	1.682566	0.032843
429.000000	1.882829	0.093041	1.681227	0.032659
430.000000	1.878147	0.092005	1.679894	0.032490
431.000000	1.873427	0.091036	1.678566	0.032337
432.000000	1.868661	0.090138	1.677244	0.032200
433.000000	1.863841	0.089322	1.675929	0.032078
434.000000	1.858964	0.088597	1.674619	0.031971
435.000000	1.854026	0.087973	1.673316	0.031878
436.000000	1.849026	0.087463	1.672020	0.031800
437.000000	1.843964	0.087078	1.670731	0.031736
438.000000	1.838842	0.086833	1.669449	0.031686
439.000000	1.833665	0.086741	1.668174	0.031650
440.000000	1.828439	0.086816	1.666907	0.031627
441.000000	1.823173	0.087072	1.665647	0.031617
442.000000	1.817878	0.087523	1.664396	0.031620
443.000000	1.812570	0.088181	1.663152	0.031635
444.000000	1.807264	0.089059	1.661916	0.031662
445.000000	1.801978	0.090167	1.660689	0.031700
446.000000	1.796736	0.091513	1.659470	0.031750
447.000000	1.791561	0.093103	1.658259	0.031811
448.000000	1.786478	0.094941	1.657057	0.031882
449.000000	1.781515	0.097026	1.655863	0.031963
450.000000	1.776701	0.099354	1.654679	0.032054
451.000000	1.772064	0.101918	1.653503	0.032154
452.000000	1.767636	0.104705	1.652335	0.032263
453.000000	1.763444	0.107699	1.651177	0.032380
454.000000	1.759516	0.110879	1.650027	0.032505
455.000000	1.755879	0.114219	1.648885	0.032637
456.000000	1.752555	0.117691	1.647753	0.032777
457.000000	1.749565	0.121261	1.646629	0.032923
458.000000	1.746923	0.124891	1.645514	0.033076
459.000000	1.744641	0.128543	1.644406	0.033234
460.000000	1.742726	0.132175	1.643307	0.033397
461.000000	1.741177	0.135744	1.642217	0.033565
462.000000	1.739990	0.139206	1.641134	0.033738
463.000000	1.739154	0.142517	1.640059	0.033914
464.000000	1.738652	0.145636	1.638991	0.034094
465.000000	1.738462	0.148523	1.637931	0.034276
466.000000	1.738557	0.151141	1.636878	0.034462
467.000000	1.738904	0.153455	1.635831	0.034649
468.000000	1.739469	0.155437	1.634791	0.034838
469.000000	1.740211	0.157061	1.633757	0.035028
470.000000	1.741088	0.158308	1.632729	0.035219
471.000000	1.742057	0.159164	1.631706	0.035410
472.000000	1.743073	0.159620	1.630689	0.035601
473.000000	1.744089	0.159673	1.629676	0.035791
474.000000	1.745061	0.159323	1.628667	0.035981
475.000000	1.745944	0.158580	1.627662	0.036169
476.000000	1.746697	0.157453	1.626660	0.036356
477.000000	1.747280	0.155961	1.625661	0.036540
478.000000	1.747654	0.154123	1.624664	0.036722
479.000000	1.747785	0.151963	1.623669	0.036902
480.000000	1.747644	0.149509	1.622675	0.037078
481.000000	1.747202	0.146790	1.621681	0.037250
482.000000	1.746436	0.143837	1.620687	0.037419
483.000000	1.745327	0.140685	1.619693	0.037584
484.000000	1.743858	0.137365	1.618697	0.037744
485.000000	1.742020	0.133914	1.617698	0.037900
486.000000	1.739802	0.130366	1.616697	0.038051
487.000000	1.737201	0.126755	1.615692	0.038197
488.000000	1.734216	0.123113	1.614683	0.038337
489.000000	1.730849	0.119475	1.613668	0.038472
490.000000	1.727104	0.115869	1.612647	0.038601
491.000000	1.722989	0.112327	1.611619	0.038724
492.000000	1.718514	0.108875	1.610583	0.038841
493.000000	1.713690	0.105540	1.609538	0.038952
494.000000	1.708532	0.102344	1.608483	0.039057
495.000000	1.703053	0.099310	1.607418	0.039155
496.000000	1.697269	0.096457	1.606340	0.039247
