SubPc measured by Andreas at some point
wavelength	n	k
250	1.6997	0.337433
251	1.6945	0.343999
252	1.6896	0.350572
253	1.6849	0.357151
254	1.6805	0.363734
255	1.6763	0.370322
256	1.6723	0.376915
257	1.6686	0.383513
258	1.6651	0.390118
259	1.6618	0.396733
260	1.6586	0.40336
261	1.6557	0.410005
262	1.653	0.416671
263	1.6504	0.423365
264	1.6481	0.430094
265	1.6459	0.436866
266	1.6439	0.443689
267	1.642	0.450573
268	1.6403	0.457528
269	1.6388	0.464567
270	1.6375	0.471702
271	1.6363	0.478944
272	1.6354	0.486309
273	1.6346	0.493809
274	1.634	0.501459
275	1.6337	0.509273
276	1.6336	0.517265
277	1.6337	0.525447
278	1.6341	0.533832
279	1.6349	0.542431
280	1.6359	0.551251
281	1.6373	0.560298
282	1.6392	0.569576
283	1.6414	0.579082
284	1.6442	0.588811
285	1.6475	0.598751
286	1.6513	0.608885
287	1.6558	0.619186
288	1.661	0.629625
289	1.6668	0.64016
290	1.6735	0.650743
291	1.6809	0.661317
292	1.6892	0.671817
293	1.6983	0.682171
294	1.7084	0.6923
295	1.7193	0.70212
296	1.7311	0.711545
297	1.7438	0.720488
298	1.7573	0.728864
299	1.7716	0.736597
300	1.7866	0.743618
301	1.8023	0.749872
302	1.8186	0.75532
303	1.8354	0.759943
304	1.8526	0.763743
305	1.8702	0.76674
306	1.8882	0.768975
307	1.9064	0.7705
308	1.9251	0.771371
309	1.9441	0.77163
310	1.9638	0.77129
311	1.9841	0.770308
312	2.0053	0.768556
313	2.0276	0.765796
314	2.0512	0.761664
315	2.0759	0.755673
316	2.1018	0.74726
317	2.1283	0.735862
318	2.1548	0.721039
319	2.1805	0.70259
320	2.2044	0.680635
321	2.2257	0.655623
322	2.2438	0.628263
323	2.2583	0.599392
324	2.2692	0.569848
325	2.2766	0.540363
326	2.281	0.511508
327	2.2827	0.483685
328	2.2822	0.45714
329	2.2799	0.432
330	2.2762	0.408302
331	2.2712	0.386027
332	2.2654	0.365118
333	2.2588	0.345498
334	2.2517	0.327083
335	2.2441	0.309787
336	2.2362	0.293527
337	2.2281	0.278226
338	2.2198	0.26381
339	2.2113	0.250215
340	2.2027	0.237381
341	2.1941	0.225253
342	2.1854	0.213784
343	2.1766	0.202931
344	2.1679	0.192652
345	2.1592	0.182913
346	2.1505	0.173681
347	2.1419	0.164926
348	2.1333	0.156622
349	2.1247	0.148743
350	2.1162	0.141267
351	2.1078	0.134172
352	2.0994	0.127439
353	2.0911	0.12105
354	2.0828	0.114987
355	2.0747	0.109235
356	2.0666	0.10378
357	2.0586	0.098606
358	2.0507	0.093702
359	2.0428	0.089054
360	2.0351	0.084651
361	2.0274	0.080481
362	2.0198	0.076535
363	2.0123	0.072802
364	2.0049	0.069273
365	1.9976	0.065938
366	1.9903	0.06279
367	1.9832	0.059819
368	1.9761	0.057018
369	1.9691	0.054379
370	1.9623	0.051896
371	1.9554	0.04956
372	1.9487	0.047367
373	1.9421	0.045309
374	1.9355	0.043381
375	1.929	0.041576
376	1.9226	0.039889
377	1.9163	0.038316
378	1.91	0.03685
379	1.9039	0.035488
380	1.8978	0.034224
381	1.8917	0.033054
382	1.8858	0.031974
383	1.8799	0.03098
384	1.874	0.030068
385	1.8683	0.029235
386	1.8626	0.028477
387	1.8569	0.02779
388	1.8514	0.027172
389	1.8458	0.02662
390	1.8404	0.02613
391	1.8349	0.025701
392	1.8296	0.025329
393	1.8242	0.025012
394	1.819	0.024748
395	1.8137	0.024535
396	1.8086	0.024371
397	1.8034	0.024253
398	1.7983	0.02418
399	1.7932	0.024151
400	1.7882	0.024164
401	1.7832	0.024217
402	1.7782	0.024309
403	1.7732	0.024439
404	1.7683	0.024605
405	1.7634	0.024808
406	1.7585	0.025045
407	1.7536	0.025316
408	1.7488	0.02562
409	1.7439	0.025957
410	1.7391	0.026326
411	1.7343	0.026727
412	1.7295	0.027159
413	1.7247	0.027621
414	1.7198	0.028115
415	1.715	0.02864
416	1.7102	0.029196
417	1.7054	0.029782
418	1.7006	0.0304
419	1.6957	0.031049
420	1.6909	0.03173
421	1.686	0.032443
422	1.6812	0.033189
423	1.6763	0.033969
424	1.6713	0.034784
425	1.6664	0.035634
426	1.6614	0.03652
427	1.6564	0.037444
428	1.6514	0.038407
429	1.6463	0.03941
430	1.6412	0.040455
431	1.6361	0.041544
432	1.6309	0.042677
433	1.6257	0.043859
434	1.6204	0.045089
435	1.6151	0.046372
436	1.6097	0.047708
437	1.6043	0.049101
438	1.5988	0.050555
439	1.5932	0.052071
440	1.5876	0.053653
441	1.5819	0.055304
442	1.5762	0.057029
443	1.5704	0.058832
444	1.5645	0.060716
445	1.5585	0.062687
446	1.5524	0.064749
447	1.5463	0.066907
448	1.5401	0.069168
449	1.5338	0.071537
450	1.5274	0.074021
451	1.5209	0.076626
452	1.5143	0.079361
453	1.5076	0.082232
454	1.5008	0.085248
455	1.494	0.088417
456	1.487	0.09175
457	1.4799	0.095256
458	1.4727	0.098946
459	1.4654	0.102831
460	1.4581	0.106922
461	1.4506	0.111233
462	1.443	0.115776
463	1.4354	0.120565
464	1.4276	0.125614
465	1.4198	0.13094
466	1.4119	0.136556
467	1.4039	0.14248
