Opt. Const. of TPTAS-T vs. nm		
nm	n	k
335.0	2.2605546	0.14832014
335.25	2.2597663	0.14929585
335.5	2.2589781	0.15027156
335.75	2.2581899	0.15124727
336.0	2.2574017	0.15222298
336.25	2.2567125	0.15286835
336.5	2.2560233	0.15351373
336.75	2.2553341	0.15415911
337.0	2.2546449	0.15480448
337.25	2.2537948	0.15514508
337.5	2.2529447	0.15548568
337.75	2.2520946	0.15582628
338.0	2.2512445	0.15616688
338.25	2.2501133	0.15636193
338.5	2.2489821	0.15655697
338.75	2.2478508	0.15675202
339.0	2.2467196	0.15694706
339.25	2.2452778	0.15715169
339.5	2.2438359	0.15735631
339.75	2.2423941	0.15756094
340.0	2.2409523	0.15776557
340.25	2.2392477	0.15812115
340.5	2.2375431	0.15847674
340.75	2.2358385	0.15883233
341.0	2.234134	0.15918791
341.25	2.2322615	0.15976487
341.5	2.230389	0.16034182
341.75	2.2285165	0.16091878
342.0	2.226644	0.16149573
342.25	2.2246781	0.1623312
342.5	2.2227122	0.16316667
342.75	2.2207462	0.16400214
343.0	2.2187803	0.16483761
343.25	2.2168065	0.16596458
343.5	2.2148328	0.16709156
343.75	2.212859	0.16821853
344.0	2.2108853	0.1693455
344.25	2.2090479	0.17077713
344.5	2.2072104	0.17220876
344.75	2.205373	0.17364039
345.0	2.2035356	0.17507201
345.25	2.2019829	0.17667469
345.5	2.2004302	0.17827737
345.75	2.1988775	0.17988005
346.0	2.1973248	0.18148273
346.25	2.1960781	0.18306879
346.5	2.1948314	0.18465485
346.75	2.1935847	0.18624092
347.0	2.192338	0.18782698
347.25	2.1913205	0.18921352
347.5	2.1903031	0.19060007
347.75	2.1892856	0.19198661
348.0	2.1882682	0.19337316
348.25	2.1872545	0.19441943
348.5	2.1862409	0.1954657
348.75	2.1852273	0.19651197
349.0	2.1842136	0.19755824
349.25	2.1829149	0.19838879
349.5	2.1816162	0.19921934
349.75	2.1803175	0.20004989
350.0	2.1790187	0.20088044
350.25	2.1773481	0.20174027
350.5	2.1756774	0.20260011
350.75	2.1740068	0.20345994
351.0	2.1723361	0.20431978
351.25	2.1703403	0.2054461
351.5	2.1683445	0.20657242
351.75	2.1663487	0.20769874
352.0	2.1643529	0.20882507
352.25	2.1622367	0.2104288
352.5	2.1601205	0.21203253
352.75	2.1580043	0.21363626
353.0	2.1558881	0.21523999
353.25	2.1539879	0.21727514
353.5	2.1520877	0.21931028
353.75	2.1501875	0.22134543
354.0	2.1482873	0.22338058
354.25	2.1467491	0.22562523
354.5	2.1452109	0.22786988
354.75	2.1436726	0.23011452
355.0	2.1421344	0.23235917
355.25	2.1409678	0.23459383
355.5	2.1398013	0.2368285
355.75	2.1386347	0.23906316
356.0	2.1374681	0.24129783
356.25	2.1365706	0.24331496
356.5	2.1356732	0.24533209
356.75	2.1347757	0.24734922
357.0	2.1338782	0.24936636
357.25	2.1330001	0.25108762
357.5	2.1321219	0.25280889
357.75	2.1312438	0.25453016
358.0	2.1303656	0.25625142
358.25	2.129341	0.25778382
358.5	2.1283164	0.25931622
358.75	2.1272918	0.26084862
359.0	2.1262672	0.26238102
359.25	2.1250251	0.26383916
359.5	2.123783	0.26529731
359.75	2.1225409	0.26675545
360.0	2.1212988	0.2682136
360.25	2.119816	0.26970861
360.5	2.1183332	0.27120362
360.75	2.1168504	0.27269863
361.0	2.1153677	0.27419364
361.25	2.1136598	0.27582975
361.5	2.1119519	0.27746585
361.75	2.1102441	0.27910195
362.0	2.1085362	0.28073806
362.25	2.1066438	0.28259724
362.5	2.1047513	0.28445642
362.75	2.1028589	0.2863156
363.0	2.1009665	0.28817478
363.25	2.0989419	0.29033004
363.5	2.0969174	0.29248531
363.75	2.0948929	0.29464058
364.0	2.0928683	0.29679585
364.25	2.0907906	0.29931913
364.5	2.0887128	0.30184241
364.75	2.0866351	0.30436569
365.0	2.0845573	0.30688897
