Opt. Const. of Ta2O5 vs. nm,,
nm	n	k
245.776154	2.86178	0.625598
247.357712	2.871073	0.577219
248.939362	2.875767	0.529933
250.521072	2.876261	0.48416
252.102859	2.872977	0.440242
253.684723	2.866343	0.398449
255.266678	2.856785	0.358983
256.848694	2.84472	0.321985
258.430786	2.830549	0.287538
260.012939	2.814652	0.255678
261.595184	2.797385	0.226395
263.17749	2.779073	0.199642
264.759857	2.760012	0.175344
266.342346	2.740469	0.153398
267.924866	2.720677	0.133684
269.507477	2.700838	0.116068
271.090149	2.681126	0.100407
272.672882	2.661685	0.086551
274.255676	2.642635	0.074352
275.838562	2.62407	0.063659
277.421509	2.606062	0.054328
279.004547	2.588664	0.046221
280.587616	2.571914	0.039206
282.170776	2.555833	0.033159
283.753998	2.540431	0.027968
285.33728	2.525707	0.023526
286.920654	2.511652	0.019739
288.504089	2.498252	0.016521
290.087555	2.485485	0.013796
291.671112	2.473328	0.011494
293.25473	2.461754	0.009556
294.838409	2.450734	0.007929
296.42218	2.440241	0.006566
298.005981	2.430244	0.005428
299.589844	2.420716	0.004479
301.173767	2.411628	0.00369
302.757782	2.402952	0.003035
304.341858	2.394663	0.002493
305.925964	2.386737	0.002045
307.510162	2.37915	0.001675
309.094391	2.37188	0.00137
310.67868	2.364908	0.00112
312.263062	2.358213	0.000914
313.847473	2.351779	0.000745
315.431946	2.34559	0.000607
317.01651	2.339629	0.000494
318.601105	2.333884	0.000402
320.18573	2.328342	0.000326
321.770447	2.32299	0.000265
323.355225	2.317818	0.000215
324.940063	2.312815	0.000174
326.524963	2.307972	0.000141
328.109863	2.303282	0.000115
329.694885	2.298734	9.3e-05
331.279907	2.294323	7.5e-05
332.865021	2.290041	6.1e-05
334.450165	2.285882	4.9e-05
336.03537	2.281841	4e-05
337.620636	2.277911	3.2e-05
339.205933	2.274087	2.6e-05
340.791321	2.270365	2.1e-05
342.376709	2.266741	1.7e-05
343.962189	2.26321	1.4e-05
345.547699	2.259767	1.1e-05
347.13324	2.256411	9e-06
348.718872	2.253136	7e-06
350.304535	2.24994	6e-06
351.890259	2.246821	5e-06
353.476013	2.243774	4e-06
355.061829	2.240797	3e-06
356.647675	2.237888	2e-06
358.233582	2.235044	2e-06
359.81955	2.232263	2e-06
361.405548	2.229543	1e-06
362.991577	2.226882	1e-06
364.577698	2.224277	1e-06
366.163818	2.221727	1e-06
367.749969	2.21923	1e-06
369.336212	2.216784	0.0
370.922485	2.214389	0.0
372.508789	2.212041	0.0
374.095154	2.20974	0.0
375.681519	2.207484	0.0
377.267975	2.205272	0.0
378.854431	2.203103	0.0
380.440979	2.200975	0.0
382.027527	2.198887	0.0
383.614105	2.196839	0.0
385.200745	2.194828	0.0
386.787445	2.192854	0.0
388.374146	2.190916	0.0
389.960907	2.189013	0.0
391.547699	2.187143	0.0
393.134552	2.185307	0.0
394.721405	2.183503	0.0
396.308289	2.18173	0.0
397.895264	2.179988	0.0
399.482239	2.178276	0.0
401.069244	2.176592	0.0
402.656311	2.174937	0.0
404.243378	2.173309	0.0
405.830505	2.171708	0.0
407.417664	2.170134	0.0
409.004822	2.168585	0.0
410.592041	2.167061	0.0
412.179291	2.165561	0.0
413.766541	2.164086	0.0
415.353912	2.162633	0.0
416.941223	2.161203	0.0
418.528625	2.159796	0.0
420.116028	2.15841	0.0
421.703461	2.157045	0.0
423.290924	2.155701	0.0
424.878418	2.154378	0.0
426.465912	2.153074	0.0
428.053467	2.15179	0.0
429.641052	2.150524	0.0
431.228668	2.149278	0.0
432.816315	2.148049	0.0
434.403961	2.146838	0.0
435.991638	2.145645	0.0
437.579346	2.144469	0.0
439.167084	2.143309	0.0
440.754822	2.142166	0.0
442.342621	2.141039	0.0
443.93042	2.139928	0.0
445.51825	2.138832	0.0
447.10611	2.137751	0.0
448.694	2.136685	0.0
450.281891	2.135633	0.0
451.869812	2.134596	0.0
453.457764	2.133572	0.0
455.045715	2.132563	0.0
456.633698	2.131566	0.0
458.22168	2.130583	0.0
459.809723	2.129613	0.0
461.397766	2.128655	0.0
462.98584	2.12771	0.0
464.573883	2.126777	0.0
466.162018	2.125856	0.0
467.750092	2.124947	0.0
469.338226	2.124049	0.0
470.926361	2.123163	0.0
472.514557	2.122288	0.0
474.102722	2.121424	0.0
475.690918	2.12057	0.0
477.279144	2.119727	0.0
478.86734	2.118895	0.0
480.455566	2.118073	0.0
482.043854	2.11726	0.0
483.632141	2.116457	0.0
485.220367	2.115664	0.0
486.808685	2.114881	0.0
488.396973	2.114107	0.0
489.985291	2.113342	0.0
491.573578	2.112586	0.0
493.161957	2.11184	0.0
494.750305	2.111101	0.0
496.338623	2.110372	0.0
497.927002	2.10965	0.0
499.515381	2.108938	0.0
501.10376	2.108233	0.0
502.692139	2.107536	0.0
504.280518	2.106847	0.0
505.868958	2.106166	0.0
507.457336	2.105493	0.0
509.045746	2.104827	0.0
510.634186	2.104168	0.0
512.222595	2.103517	0.0
513.811035	2.102873	0.0
515.399475	2.102237	0.0
516.987915	2.101607	0.0
518.576355	2.100984	0.0
520.164795	2.100367	0.0
521.753296	2.099758	0.0
523.341675	2.099154	0.0
524.930176	2.098558	0.0
526.518677	2.097968	0.0
528.107056	2.097383	0.0
529.695557	2.096806	0.0
531.283997	2.096234	0.0
532.872437	2.095668	0.0
534.460938	2.095108	0.0
536.049377	2.094554	0.0
537.637817	2.094006	0.0
539.226257	2.093463	0.0
540.814758	2.092926	0.0
542.403198	2.092394	0.0
543.991638	2.091867	0.0
545.580078	2.091346	0.0
547.168518	2.090831	0.0
548.756958	2.09032	0.0
550.345337	2.089814	0.0
551.933777	2.089314	0.0
553.522217	2.088818	0.0
555.110657	2.088328	0.0
556.699036	2.087842	0.0
558.287476	2.087361	0.0
559.875854	2.086884	0.0
561.464233	2.086413	0.0
563.052612	2.085945	0.0
564.640991	2.085483	0.0
566.229309	2.085025	0.0
567.817688	2.084571	0.0
569.406006	2.084121	0.0
570.994324	2.083676	0.0
572.582642	2.083235	0.0
574.170959	2.082798	0.0
575.759216	2.082365	0.0
577.347534	2.081936	0.0
578.935791	2.081511	0.0
580.524048	2.08109	0.0
582.112305	2.080673	0.0
583.700562	2.08026	0.0
585.288757	2.079851	0.0
586.876953	2.079445	0.0
588.465149	2.079043	0.0
590.053345	2.078645	0.0
591.641479	2.07825	0.0
593.229614	2.077859	0.0
594.817749	2.077471	0.0
596.405823	2.077087	0.0
597.993958	2.076706	0.0
599.58197	2.076329	0.0
601.170044	2.075954	0.0
602.758057	2.075584	0.0
604.346069	2.075216	0.0
605.934082	2.074852	0.0
607.522095	2.074491	0.0
609.109985	2.074132	0.0
610.697937	2.073777	0.0
612.285828	2.073426	0.0
613.873718	2.073077	0.0
615.461609	2.072731	0.0
617.049438	2.072388	0.0
618.637268	2.072048	0.0
620.225037	2.071711	0.0
621.812866	2.071376	0.0
623.400574	2.071045	0.0
624.988342	2.070716	0.0
626.57605	2.07039	0.0
628.163696	2.070066	0.0
629.751343	2.069746	0.0
631.338989	2.069428	0.0
632.926575	2.069113	0.0
634.514099	2.0688	0.0
636.101685	2.06849	0.0
637.689148	2.068182	0.0
639.276672	2.067877	0.0
640.864136	2.067574	0.0
642.451538	2.067274	0.0
644.03894	2.066976	0.0
645.626343	2.06668	0.0
647.213623	2.066387	0.0
648.800903	2.066096	0.0
650.388184	2.065808	0.0
651.975464	2.065521	0.0
653.562622	2.065238	0.0
655.14978	2.064956	0.0
656.736938	2.064676	0.0
658.324097	2.064399	0.0
659.911133	2.064124	0.0
661.498169	2.063851	0.0
663.085205	2.06358	0.0
664.67218	2.063311	0.0
