Opt. Const. of Gen-Osc vs. nm
Wavelength (nm)	n	k
245.776154	2.477227	0.011132
247.357712	2.469211	0.011062
248.939362	2.461435	0.010993
250.521072	2.453889	0.010924
252.102859	2.446564	0.010856
253.684723	2.439451	0.010788
255.266678	2.432540	0.010721
256.848694	2.425823	0.010655
258.430786	2.419294	0.010590
260.012939	2.412944	0.010525
261.595184	2.406766	0.010460
263.177490	2.400754	0.010397
264.759857	2.394902	0.010334
266.342346	2.389204	0.010271
267.924866	2.383653	0.010210
269.507477	2.378245	0.010148
271.090149	2.372974	0.010088
272.672882	2.367836	0.010028
274.255676	2.362825	0.009969
275.838562	2.357937	0.009910
277.421509	2.353169	0.009852
279.004547	2.348515	0.009795
280.587616	2.343972	0.009738
282.170776	2.339537	0.009682
283.753998	2.335205	0.009626
285.337280	2.330974	0.009571
286.920654	2.326840	0.009517
288.504089	2.322799	0.009463
290.087555	2.318850	0.009409
291.671112	2.314989	0.009356
293.254730	2.311213	0.009304
294.838409	2.307519	0.009252
296.422180	2.303906	0.009201
298.005981	2.300371	0.009150
299.589844	2.296911	0.009100
301.173767	2.293524	0.009050
302.757782	2.290207	0.009001
304.341858	2.286960	0.008953
305.925964	2.283780	0.008904
307.510162	2.280665	0.008857
309.094391	2.277612	0.008810
310.678680	2.274622	0.008763
312.263062	2.271690	0.008717
313.847473	2.268817	0.008671
315.431946	2.266000	0.008625
317.016510	2.263238	0.008581
318.601105	2.260529	0.008536
320.185730	2.257872	0.008492
321.770447	2.255266	0.008449
323.355225	2.252709	0.008405
324.940063	2.250200	0.008363
326.524963	2.247737	0.008320
328.109863	2.245320	0.008279
329.694885	2.242947	0.008237
331.279907	2.240617	0.008196
332.865021	2.238329	0.008155
334.450165	2.236083	0.008115
336.035370	2.233876	0.008075
337.620636	2.231708	0.008036
339.205933	2.229578	0.007996
340.791321	2.227486	0.007958
342.376709	2.225430	0.007919
343.962189	2.223409	0.007881
345.547699	2.221422	0.007843
347.133240	2.219469	0.007806
348.718872	2.217550	0.007769
350.304535	2.215662	0.007732
351.890259	2.213805	0.007696
353.476013	2.211980	0.007660
355.061829	2.210184	0.007625
356.647675	2.208418	0.007589
358.233582	2.206680	0.007554
359.819550	2.204970	0.007519
361.405548	2.203288	0.007485
362.991577	2.201632	0.007451
364.577698	2.200003	0.007417
366.163818	2.198399	0.007384
367.749969	2.196820	0.007351
369.336212	2.195266	0.007318
370.922485	2.193736	0.007285
372.508789	2.192229	0.007253
374.095154	2.190746	0.007221
375.681519	2.189284	0.007189
377.267975	2.187845	0.007158
378.854431	2.186427	0.007126
380.440979	2.185031	0.007096
382.027527	2.183655	0.007065
383.614105	2.182299	0.007034
385.200745	2.180964	0.007004
386.787445	2.179647	0.006974
388.374146	2.178350	0.006945
389.960907	2.177072	0.006915
391.547699	2.175812	0.006886
393.134552	2.174570	0.006857
394.721405	2.173345	0.006829
396.308289	2.172138	0.006800
397.895264	2.170948	0.006772
399.482239	2.169774	0.006744
401.069244	2.168616	0.006717
402.656311	2.167475	0.006689
404.243378	2.166349	0.006662
405.830505	2.165239	0.006635
407.417664	2.164144	0.006608
409.004822	2.163063	0.006581
410.592041	2.161997	0.006555
412.179291	2.160945	0.006529
413.766541	2.159908	0.006503
415.353912	2.158884	0.006477
416.941223	2.157874	0.006451
418.528625	2.156876	0.006426
420.116028	2.155892	0.006401
421.703461	2.154921	0.006376
423.290924	2.153962	0.006351
424.878418	2.153016	0.006326
426.465912	2.152082	0.006302
428.053467	2.151159	0.006278
429.641052	2.150249	0.006254
431.228668	2.149349	0.006230
432.816315	2.148462	0.006206
434.403961	2.147585	0.006183
435.991638	2.146719	0.006160
437.579346	2.145864	0.006136
439.167084	2.145020	0.006113
440.754822	2.144186	0.006091
442.342621	2.143362	0.006068
443.930420	2.142548	0.006046
445.518250	2.141744	0.006023
447.106110	2.140949	0.006001
448.694000	2.140164	0.005979
