Opt. Const. of Al vs. nm,,
nm,n,k
210,0.134245,2.436027
211,0.135472,2.4494
212,0.13669,2.462701
213,0.137899,2.47593
214,0.139098,2.489089
215,0.140289,2.502179
216,0.141592,2.515437
217,0.143065,2.52898
218,0.144526,2.54245
219,0.145976,2.555849
220,0.147414,2.569179
221,0.148842,2.58244
222,0.150259,2.595634
223,0.151666,2.608761
224,0.153062,2.621822
225,0.154448,2.634819
226,0.155982,2.648556
227,0.157608,2.662754
228,0.159221,2.676877
229,0.160822,2.690927
230,0.16241,2.704903
231,0.163987,2.718808
232,0.165552,2.732643
233,0.167105,2.746408
234,0.168647,2.760104
235,0.170177,2.773733
236,0.171697,2.787295
237,0.173266,2.800422
238,0.174838,2.813396
239,0.176399,2.826311
240,0.17795,2.839167
241,0.179491,2.851966
242,0.181021,2.864707
243,0.182542,2.877393
244,0.184052,2.890022
245,0.185553,2.902597
246,0.187045,2.915118
247,0.188527,2.927585
248,0.19,2.94
249,0.191517,2.953424
250,0.193024,2.966787
251,0.194521,2.98009
252,0.196009,2.993334
253,0.197487,3.00652
254,0.198957,3.019649
255,0.200417,3.03272
256,0.201869,3.045736
257,0.203312,3.058697
258,0.204747,3.071603
259,0.206173,3.084455
260,0.20759,3.097254
261,0.209,3.11
262,0.210724,3.123473
263,0.212437,3.136889
264,0.214139,3.150247
265,0.215831,3.16355
266,0.217513,3.176797
267,0.219184,3.189989
268,0.220845,3.203127
269,0.222496,3.216211
270,0.224138,3.229243
271,0.22577,3.242222
272,0.227393,3.25515
273,0.229006,3.268027
274,0.23061,3.280854
275,0.232206,3.29363
276,0.233903,3.30668
277,0.235702,3.32
278,0.23749,3.333267
279,0.239268,3.346482
280,0.241035,3.359645
281,0.242792,3.372757
282,0.244539,3.385818
283,0.246277,3.39883
284,0.248005,3.411791
285,0.249723,3.424704
286,0.251432,3.437569
287,0.253131,3.450386
288,0.254822,3.463155
289,0.256504,3.475878
290,0.258176,3.488554
291,0.25984,3.501185
292,0.261553,3.513664
293,0.263392,3.525849
294,0.26522,3.537992
295,0.26704,3.550094
296,0.26885,3.562156
297,0.270651,3.574177
298,0.272443,3.586157
299,0.274226,3.598098
300,0.276,3.61
301,0.277842,3.623209
302,0.279674,3.63637
303,0.281497,3.649484
304,0.283311,3.662552
305,0.285115,3.675573
306,0.28691,3.688548
307,0.288696,3.701478
308,0.290472,3.714363
309,0.292241,3.727203
310,0.294,3.74
311,0.296061,3.752805
312,0.298111,3.765566
313,0.300151,3.778284
314,0.302181,3.790961
315,0.3042,3.803595
316,0.306209,3.816187
317,0.308209,3.828739
318,0.310194,3.841328
319,0.312133,3.854583
320,0.314062,3.867792
321,0.315981,3.880957
322,0.317891,3.894077
323,0.319792,3.907154
324,0.321683,3.920187
325,0.323566,3.933177
326,0.32544,3.946124
327,0.327459,3.958861
328,0.329535,3.971486
329,0.331602,3.984071
330,0.333658,3.996617
331,0.335705,4.009123
332,0.337743,4.021591
333,0.339771,4.034021
334,0.34179,4.046412
335,0.3438,4.058766
336,0.345972,4.070774
337,0.348153,4.082712
338,0.350325,4.094615
339,0.352487,4.106484
340,0.35464,4.11832
341,0.356783,4.130122
342,0.358916,4.14189
343,0.361041,4.153625
344,0.363156,4.165328
345,0.365191,4.177556
346,0.36717,4.190119
347,0.36914,4.202644
348,0.371102,4.215133
349,0.373055,4.227584
350,0.375,4.24
351,0.3774,4.254362
352,0.379788,4.268676
353,0.382164,4.282942
354,0.384528,4.297162
355,0.386711,4.310042
356,0.388841,4.322562
357,0.390962,4.335045
358,0.393073,4.347494
359,0.395177,4.359907
360,0.397271,4.372284
361,0.399357,4.384627
362,0.401434,4.396936
363,0.403502,4.409211
364,0.405563,4.421452
365,0.407697,4.433595
366,0.410013,4.44556
367,0.412319,4.457492
368,0.414616,4.469393
369,0.416904,4.481263
370,0.419183,4.493101
371,0.421452,4.504909
372,0.423713,4.516686
373,0.425964,4.528433
374,0.428207,4.54015
375,0.430441,4.551837
376,0.432729,4.563874
377,0.435152,4.576765
378,0.437565,4.589619
379,0.439968,4.602437
380,0.442361,4.615221
381,0.444743,4.62797
382,0.447117,4.640683
383,0.44948,4.653363
384,0.451834,4.666008
385,0.454179,4.678619
386,0.456514,4.691196
387,0.45884,4.703741
388,0.461228,4.716091
389,0.463676,4.728249
390,0.466115,4.740376
391,0.468544,4.752472
392,0.470964,4.764539
393,0.473375,4.776575
394,0.475777,4.788581
395,0.47817,4.800557
396,0.480553,4.812504
397,0.482928,4.824421
398,0.485294,4.83631
399,0.487651,4.848169
400,0.49,4.86
401,0.492538,4.872211
402,0.495067,4.884391
403,0.497586,4.896542
404,0.500096,4.908663
405,0.502596,4.920754
406,0.505087,4.932816
407,0.507569,4.944849
408,0.510042,4.956853
409,0.512506,4.968828
410,0.514961,4.980775
411,0.517407,4.992694
412,0.519844,5.004584
413,0.522273,5.016447
414,0.524768,5.029023
415,0.527287,5.041885
416,0.529796,5.054715
417,0.532295,5.067513
418,0.534785,5.080278
419,0.537267,5.093012
420,0.539739,5.105714
421,0.542202,5.118385
422,0.544656,5.131025
423,0.547102,5.143634
424,0.549538,5.156213
425,0.551967,5.168761
426,0.554386,5.181279
427,0.556798,5.193767
428,0.559341,5.205979
429,0.562014,5.217918
430,0.564679,5.22983
431,0.567334,5.241714
432,0.569981,5.253573
433,0.572618,5.265405
434,0.575246,5.277211
435,0.577866,5.288991
436,0.580476,5.300745
437,0.583078,5.312474
438,0.585671,5.324176
439,0.588256,5.335854
440,0.590832,5.347507
441,0.593399,5.359134
442,0.595959,5.370736
443,0.598562,5.38252
444,0.601368,5.395103
445,0.604164,5.407657
446,0.60695,5.420182
447,0.609727,5.432679
448,0.612494,5.445148
449,0.615252,5.457588
450,0.618,5.47
451,0.620865,5.482062
452,0.62372,5.494098
453,0.626565,5.506107
454,0.629401,5.518091
455,0.632228,5.53005
456,0.635046,5.541983
457,0.637854,5.553891
458,0.640653,5.565773
459,0.643443,5.577631
460,0.64637,5.590128
461,0.649324,5.602762
462,0.652268,5.615368
463,0.655202,5.627947
464,0.658126,5.640498
465,0.66104,5.653021
466,0.663945,5.665517
467,0.66684,5.677986
468,0.669725,5.690428
469,0.672601,5.702843
470,0.675468,5.715232
471,0.678326,5.727594
472,0.681174,5.73993
473,0.684013,5.752239
474,0.686843,5.764523
475,0.689664,5.776781
476,0.692476,5.789013
477,0.695325,5.801234
478,0.698574,5.81356
479,0.701812,5.825859
480,0.705039,5.838133
481,0.708256,5.850382
482,0.711462,5.862606
483,0.714658,5.874805
484,0.717844,5.886979
485,0.72102,5.899129
486,0.724185,5.911254
487,0.727341,5.923354
488,0.730487,5.935431
489,0.733623,5.947483
490,0.736749,5.959512
491,0.739866,5.971516
492,0.742973,5.983498
493,0.74607,5.995455
494,0.749158,6.007389
495,0.752237,6.0193
496,0.755344,6.031224
497,0.758774,6.043454
498,0.762193,6.05566
499,0.765602,6.067842
500,0.769,6.08
501,0.772303,6.091529
502,0.775597,6.103037
503,0.778881,6.114524
504,0.782155,6.12599
505,0.78542,6.137435
506,0.788675,6.148859
507,0.792219,6.161248
508,0.795785,6.173722
509,0.79934,6.186172
510,0.802884,6.198596
511,0.806416,6.210998
512,0.809938,6.223374
513,0.813449,6.235727
514,0.816949,6.248056
515,0.820439,6.260361
516,0.823918,6.272643
517,0.827516,6.285144
518,0.831297,6.297987
519,0.835066,6.310804
520,0.838824,6.323596
521,0.842569,6.336362
522,0.846303,6.349103
