Opt. Const. of C545T vs. nm,,
nm,n,k
245.874191,1.794824,0.175801
247.461349,1.790431,0.164356
249.048492,1.78531,0.153422
250.63562,1.779511,0.14303
252.222748,1.773077,0.133209
253.809891,1.766052,0.123987
255.397003,1.758475,0.115393
256.9841,1.750385,0.107456
258.571228,1.741821,0.10021
260.158295,1.732823,0.093691
261.745392,1.723436,0.087938
263.332458,1.71371,0.082991
264.919525,1.703703,0.078895
266.506592,1.693482,0.075694
268.093658,1.683124,0.073427
269.680695,1.67272,0.072131
271.2677,1.662371,0.071834
272.854736,1.652191,0.072551
274.441711,1.642304,0.074284
276.028748,1.632841,0.077013
277.615692,1.623937,0.0807
279.202698,1.615726,0.085279
280.789642,1.608337,0.090662
282.376587,1.601888,0.096736
283.963531,1.59648,0.103365
285.550446,1.592189,0.110392
287.13736,1.589067,0.117647
288.724243,1.587135,0.124951
290.311127,1.586381,0.132122
291.89798,1.586764,0.138982
293.484833,1.588212,0.145366
295.071686,1.590623,0.151122
296.658508,1.593879,0.156121
298.2453,1.59784,0.160261
299.832092,1.602356,0.163463
301.418854,1.607273,0.165676
303.005615,1.612434,0.166877
304.592346,1.617687,0.167065
306.179077,1.622888,0.166263
307.765778,1.627903,0.164515
309.352478,1.632613,0.161878
310.939148,1.636913,0.158425
312.525787,1.640714,0.154236
314.112396,1.643942,0.149401
315.699036,1.64654,0.144011
317.285583,1.648465,0.13816
318.872162,1.649689,0.131941
320.45874,1.650197,0.125445
322.045258,1.649985,0.118757
323.631775,1.649058,0.111958
325.218262,1.647432,0.105123
326.804749,1.645129,0.098318
328.391174,1.642176,0.091604
329.9776,1.638604,0.085033
331.564026,1.63445,0.078651
333.150391,1.629749,0.072494
334.736755,1.624538,0.066595
336.323059,1.618855,0.060976
337.909393,1.612733,0.055656
339.495667,1.606207,0.050648
341.08194,1.599307,0.04596
342.668152,1.592061,0.041596
344.254395,1.584491,0.037556
345.840576,1.576619,0.033839
347.426727,1.568459,0.030442
349.012878,1.560023,0.027361
350.598999,1.551317,0.02459
352.185089,1.542344,0.022126
353.771149,1.533103,0.019968
355.357147,1.523587,0.018114
356.943176,1.513787,0.016569
358.529144,1.503692,0.015338
360.115082,1.493287,0.014434
361.701019,1.482554,0.013871
363.286926,1.471476,0.013672
364.872772,1.460034,0.013866
366.458618,1.448212,0.014486
368.044403,1.435992,0.015575
369.630188,1.423362,0.017181
371.215942,1.410312,0.019362
372.801636,1.396841,0.022181
374.387329,1.382951,0.025709
375.972961,1.368656,0.030024
377.558624,1.353979,0.035209
379.144196,1.338957,0.041353
380.729767,1.32364,0.048548
382.315277,1.308095,0.056888
383.900787,1.292406,0.066464
385.486237,1.276678,0.077365
387.071655,1.261036,0.089671
388.657043,1.245626,0.103451
390.242432,1.230615,0.118754
391.827759,1.21619,0.135608
393.413025,1.202553,0.15401
394.998291,1.189915,0.173921
396.583527,1.178492,0.195265
398.168701,1.168493,0.21792
399.753845,1.160109,0.241723
401.338959,1.153503,0.266469
402.924042,1.148798,0.291922
404.509094,1.146067,0.317822
406.094086,1.145334,0.343898
407.679077,1.146565,0.369884
409.264008,1.149677,0.395528
410.848877,1.15454,0.420607
412.433746,1.16099,0.444936
414.018555,1.168835,0.46837
415.603363,1.17787,0.490811
417.18808,1.187881,0.512204
418.772797,1.198661,0.532543
420.357483,1.210015,0.551859
421.942078,1.221767,0.570225
423.526672,1.233768,0.587742
425.111176,1.245902,0.604542
426.695709,1.258091,0.620775
428.280121,1.270298,0.636601
429.864563,1.282531,0.652184
431.448914,1.294843,0.667679
433.033264,1.307328,0.683225
434.617584,1.320123,0.698929
436.201813,1.333395,0.714861
437.786041,1.347335,0.73104
439.370178,1.362144,0.747433
440.954285,1.378021,0.763947
442.538391,1.395144,0.780433
444.122406,1.413658,0.796688
445.70639,1.433658,0.812463
447.290344,1.455179,0.82748
448.874207,1.478192,0.841443
450.458069,1.50259,0.854056
452.04184,1.528195,0.865037
453.625641,1.55476,0.874144
455.20932,1.581971,0.88118
456.79303,1.609463,0.886019
458.376617,1.636827,0.888614
459.960205,1.663629,0.889014
461.543701,1.689428,0.887373
463.127197,1.713804,0.883961
464.710602,1.736383,0.879168
466.294006,1.756871,0.8735
467.877289,1.775095,0.867573
469.460602,1.791044,0.86209
471.043793,1.804902,0.857797
472.627014,1.817093,0.855437
474.210114,1.828287,0.855665
475.793213,1.8394,0.858969
477.376221,1.85155,0.865567
478.959229,1.865971,0.875329
480.542145,1.883894,0.887717
482.125,1.906399,0.901788
483.707855,1.934275,0.916251
485.290619,1.967896,0.929576
486.873352,2.007173,0.940152
488.455994,2.051552,0.946442
490.038635,2.100071,0.94712
491.621185,2.151462,0.941172
493.203674,2.204258,0.927956
494.786133,2.256917,0.907215
496.3685,2.307914,0.879064
497.950867,2.355836,0.843951
499.533142,2.39944,0.802606
501.115387,2.437711,0.755976
502.697571,2.469879,0.705161
504.279694,2.49544,0.651349
505.861725,2.51415,0.595759
507.443756,2.526011,0.539576
509.025696,2.531247,0.483916
510.607605,2.530272,0.429777
512.189453,2.523653,0.37802
513.771179,2.512072,0.329343
515.352905,2.496283,0.28427
516.93457,2.477074,0.24316
518.516235,2.455232,0.206204
520.097778,2.431512,0.17345
521.67926,2.40661,0.144813
523.26062,2.381148,0.120104
524.84198,2.355655,0.09905
526.42334,2.330566,0.081325
528.004578,2.306223,0.066569
529.585754,2.282876,0.05441
531.16687,2.26069,0.044482
532.747925,2.239764,0.03644
534.328979,2.220136,0.029965
535.909851,2.2018,0.024776
537.490784,2.184713,0.020627
539.071594,2.168812,0.01731
540.652283,2.154018,0.014652
542.233032,2.140245,0.012514
543.813599,2.127408,0.010781
545.394165,2.11542,0.009364
546.974731,2.104202,0.008194
548.555115,2.093679,0.007217
550.135498,2.083785,0.006391
551.715759,2.074459,0.005686
553.296021,2.065648,0.005077
554.87616,2.057304,0.004547
556.456299,2.049387,0.004081
558.036316,2.04186,0.003669
559.616333,2.034689,0.003302
561.196167,2.027848,0.002975
562.776062,2.021311,0.002681
564.355835,2.015055,0.002418
565.935547,2.009061,0.00218
567.515137,2.003311,0.001967
569.094727,1.997789,0.001774
570.674194,1.992479,0.001599
572.253662,1.98737,0.001442
573.833008,1.982449,0.0013
575.412292,1.977705,0.001172
576.991516,1.973128,0.001056
578.570679,1.968709,0.000951
580.14978,1.96444,0.000856
581.72876,1.960312,0.000771
583.307739,1.956318,0.000694
584.886597,1.952452,0.000624
586.465393,1.948707,0.000562
588.044067,1.945077,0.000505
589.622742,1.941557,0.000454
591.201294,1.938141,0.000408
592.779846,1.934826,0.000367
594.358276,1.931605,0.000329
595.936646,1.928476,0.000296
597.514893,1.925435,0.000266
599.09314,1.922476,0.000238
600.671265,1.919598,0.000214
602.249329,1.916796,0.000192
603.827271,1.914068,0.000172
605.405151,1.91141,0.000154
606.983032,1.90882,0.000138
608.560791,1.906295,0.000124
610.138489,1.903833,0.000111
611.716064,1.901431,0.0001
613.293579,1.899086,8.9e-05
614.871033,1.896798,8e-05
616.448425,1.894564,7.2e-05
618.025757,1.892381,6.4e-05
619.602966,1.890248,5.7e-05
621.180054,1.888164,5.1e-05
622.757202,1.886127,4.6e-05
624.334106,1.884134,4.1e-05
625.911011,1.882185,3.7e-05
627.487915,1.880278,3.3e-05
629.064575,1.878412,2.9e-05
630.641296,1.876585,2.6e-05
632.217896,1.874796,2.4e-05
633.794373,1.873044,2.1e-05
635.370789,1.871328,1.9e-05
636.947144,1.869647,1.7e-05
638.523376,1.867999,1.5e-05
640.099548,1.866385,1.3e-05
641.675659,1.864801,1.2e-05
643.251709,1.863249,1.1e-05
644.827637,1.861726,1e-05
646.403442,1.860232,9e-06
647.979248,1.858767,8e-06
649.554932,1.857329,7e-06
651.130493,1.855917,6e-06
652.705994,1.854532,5e-06
654.281433,1.853172,5e-06
655.856812,1.851836,4e-06
657.432007,1.850524,4e-06
659.007202,1.849235,3e-06
660.582336,1.847969,3e-06
662.157349,1.846725,3e-06
663.732239,1.845503,2e-06
665.307007,1.844302,2e-06
666.881775,1.843121,2e-06
668.456421,1.84196,2e-06
670.031006,1.840818,2e-06
671.605469,1.839696,1e-06
673.179871,1.838592,1e-06
674.754211,1.837506,1e-06
676.328369,1.836438,1e-06
677.902466,1.835387,1e-06
679.476563,1.834353,1e-06
681.050476,1.833335,1e-06
682.62439,1.832334,1e-06
684.19812,1.831348,1e-06
685.77179,1.830377,1e-06
687.345337,1.829422,0.0
688.918823,1.828482,0.0
690.492249,1.827556,0.0
692.065552,1.826643,0.0
693.638794,1.825745,0.0
695.211914,1.82486,0.0
696.784912,1.823989,0.0
698.357849,1.82313,0.0
699.930725,1.822285,0.0
701.503479,1.821451,0.0
703.076111,1.82063,0.0
704.648682,1.819821,0.0
706.22113,1.819023,0.0
707.793518,1.818237,0.0
709.365845,1.817462,0.0
710.937988,1.816698,0.0
712.510071,1.815945,0.0
714.082092,1.815202,0.0
715.653931,1.81447,0.0
717.225769,1.813748,0.0
718.797485,1.813036,0.0
720.36908,1.812334,0.0
721.940552,1.811642,0.0
723.512024,1.810959,0.0
725.083313,1.810285,0.0
726.654541,1.80962,0.0
728.225647,1.808965,0.0
729.796631,1.808318,0.0
731.367554,1.80768,0.0
732.938354,1.80705,0.0
734.509094,1.806429,0.0
736.079712,1.805816,0.0
737.650269,1.805211,0.0
739.220642,1.804614,0.0
740.790955,1.804024,0.0
742.361206,1.803443,0.0
743.931274,1.802868,0.0
745.501343,1.802302,0.0
747.071228,1.801742,0.0
748.640991,1.80119,0.0
750.210754,1.800645,0.0
751.780334,1.800106,0.0
753.349854,1.799575,0.0
754.91925,1.79905,0.0
756.488525,1.798532,0.0
758.057739,1.79802,0.0
759.626831,1.797514,0.0
761.19574,1.797015,0.0
762.764648,1.796522,0.0
764.333374,1.796036,0.0
765.902039,1.795555,0.0
767.470581,1.79508,0.0
769.039063,1.794611,0.0
770.607422,1.794148,0.0
772.175659,1.79369,0.0
773.743774,1.793238,0.0
775.311768,1.792792,0.0
776.8797,1.79235,0.0
778.44751,1.791914,0.0
780.015198,1.791484,0.0
781.582825,1.791058,0.0
783.150269,1.790638,0.0
784.717651,1.790223,0.0
786.284912,1.789812,0.0
787.852051,1.789407,0.0
789.419067,1.789006,0.0
790.986023,1.78861,0.0
792.552856,1.788219,0.0
794.119507,1.787832,0.0
795.686157,1.78745,0.0
797.252625,1.787073,0.0
798.81897,1.7867,0.0
800.385254,1.786331,0.0
801.951416,1.785966,0.0
803.517456,1.785606,0.0
805.083374,1.78525,0.0
806.64917,1.784898,0.0
808.214905,1.78455,0.0
809.780457,1.784207,0.0
811.345947,1.783867,0.0
812.911255,1.783531,0.0
814.476501,1.783199,0.0
816.041626,1.782871,0.0
817.606628,1.782546,0.0
819.171509,1.782226,0.0
820.736328,1.781909,0.0
822.300964,1.781595,0.0
823.86554,1.781286,0.0
825.429993,1.780979,0.0
826.994263,1.780677,0.0
828.558472,1.780378,0.0
830.122559,1.780082,0.0
831.686523,1.779789,0.0
833.250305,1.7795,0.0
834.814087,1.779214,0.0
836.377625,1.778932,0.0
837.941101,1.778652,0.0
839.504517,1.778376,0.0
841.067749,1.778103,0.0
842.630859,1.777833,0.0
844.193848,1.777566,0.0
845.756714,1.777302,0.0
847.319519,1.777041,0.0
848.882141,1.776783,0.0
850.444641,1.776528,0.0
852.007019,1.776276,0.0
853.569336,1.776027,0.0
855.131531,1.775781,0.0
856.693542,1.775537,0.0
858.255493,1.775296,0.0
859.8172,1.775058,0.0
861.378906,1.774823,0.0
862.94043,1.77459,0.0
864.501831,1.77436,0.0
866.06311,1.774132,0.0
867.624329,1.773907,0.0
869.185364,1.773685,0.0
870.746216,1.773465,0.0
872.307007,1.773248,0.0
873.867676,1.773033,0.0
875.428223,1.77282,0.0
876.988586,1.772611,0.0
878.54895,1.772403,0.0
880.10907,1.772198,0.0
881.669067,1.771995,0.0
883.229004,1.771794,0.0
884.788757,1.771596,0.0
886.34845,1.7714,0.0
887.907898,1.771206,0.0
889.467285,1.771015,0.0
891.02655,1.770825,0.0
892.585754,1.770638,0.0
894.144714,1.770453,0.0
895.703491,1.77027,0.0
897.262329,1.770089,0.0
898.820923,1.769911,0.0
900.379395,1.769734,0.0
901.937683,1.76956,0.0
903.495972,1.769387,0.0
905.054016,1.769217,0.0
906.612,1.769048,0.0
908.1698,1.768882,0.0
909.727539,1.768717,0.0
911.285034,1.768554,0.0
912.842468,1.768394,0.0
914.39978,1.768235,0.0
915.956909,1.768078,0.0
917.513977,1.767923,0.0
919.070801,1.767769,0.0
920.627563,1.767618,0.0
922.184204,1.767468,0.0
923.740601,1.76732,0.0
925.296997,1.767174,0.0
926.85321,1.76703,0.0
928.409302,1.766887,0.0
929.96521,1.766746,0.0
931.520996,1.766607,0.0
933.07666,1.76647,0.0
934.632202,1.766334,0.0
936.187622,1.7662,0.0
937.742859,1.766067,0.0
939.297974,1.765937,0.0
940.852905,1.765807,0.0
942.407837,1.76568,0.0
943.962524,1.765554,0.0
945.51709,1.765429,0.0
947.071472,1.765306,0.0
948.625793,1.765185,0.0
950.179871,1.765065,0.0
951.733887,1.764947,0.0
953.287781,1.76483,0.0
954.841492,1.764715,0.0
956.39502,1.764601,0.0
957.948547,1.764488,0.0
959.50177,1.764377,0.0
961.054993,1.764268,0.0
962.60791,1.76416,0.0
964.160828,1.764053,0.0
965.713562,1.763948,0.0
967.266113,1.763844,0.0
968.818542,1.763742,0.0
970.370911,1.763641,0.0
971.923035,1.763541,0.0
973.474976,1.763443,0.0
975.026855,1.763346,0.0
976.578613,1.76325,0.0
978.130188,1.763155,0.0
979.681641,1.763062,0.0
981.23291,1.76297,0.0
982.783997,1.76288,0.0
984.334961,1.762791,0.0
985.885864,1.762703,0.0
987.436523,1.762616,0.0
988.987122,1.76253,0.0
990.537476,1.762446,0.0
992.087769,1.762363,0.0
993.637878,1.762281,0.0
995.187805,1.762201,0.0
996.73761,1.762121,0.0
998.287292,1.762043,0.0
1010.887024,1.761449,0.0
1014.252563,1.761303,0.0
1017.618774,1.761162,0.0
1020.985535,1.761026,0.0
1024.352905,1.760895,0.0
1027.720947,1.760768,0.0
1031.089478,1.760647,0.0
1034.45874,1.76053,0.0
1037.828491,1.760417,0.0
1041.198975,1.76031,0.0
1044.570068,1.760207,0.0
1047.94165,1.760108,0.0
1051.313965,1.760013,0.0
1054.686768,1.759923,0.0
1058.060303,1.759838,0.0
1061.434448,1.759756,0.0
1064.809204,1.759678,0.0
1068.184448,1.759605,0.0
1071.560425,1.759536,0.0
1074.937012,1.75947,0.0
1078.314209,1.759409,0.0
1081.691895,1.759351,0.0
1085.070313,1.759297,0.0
1088.449341,1.759247,0.0
1091.828857,1.7592,0.0
1095.209106,1.759158,0.0
1098.589966,1.759119,0.0
1101.971436,1.759083,0.0
1105.353394,1.759051,0.0
1108.736084,1.759022,0.0
1112.119385,1.758997,0.0
1115.503296,1.758976,0.0
1118.887817,1.758957,0.0
1122.272827,1.758942,0.0
1125.658569,1.758931,0.0
1129.044922,1.758922,0.0
1132.431885,1.758917,0.0
1135.819458,1.758915,0.0
1139.207642,1.758916,0.0
1142.596436,1.75892,0.0
1145.98584,1.758927,0.0
1149.375854,1.758937,0.0
1152.766479,1.75895,0.0
1156.157715,1.758966,0.0
1159.549561,1.758985,0.0
1162.942017,1.759007,0.0
1166.335083,1.759032,0.0
1169.72876,1.75906,0.0
1173.123047,1.75909,0.0
1176.517944,1.759123,0.0
1179.913452,1.759159,0.0
1183.309692,1.759198,0.0
1186.706421,1.759239,0.0
1190.10376,1.759283,0.0
1193.501709,1.759329,0.0
1196.900269,1.759379,0.0
1200.299561,1.75943,0.0
1203.699341,1.759485,0.0
1207.099854,1.759541,0.0
1210.500854,1.759601,0.0
1213.902588,1.759663,0.0
1217.30481,1.759727,0.0
1220.707642,1.759793,0.0
1224.111084,1.759862,0.0
1227.515259,1.759934,0.0
1230.920044,1.760008,0.0
1234.325317,1.760084,0.0
1237.731201,1.760162,0.0
1241.137939,1.760243,0.0
1244.545044,1.760326,0.0
1247.952881,1.760412,0.0
1251.361206,1.760499,0.0
1254.770264,1.760589,0.0
1258.179932,1.760681,0.0
1261.590088,1.760775,0.0
1265.001099,1.760871,0.0
1268.412476,1.760969,0.0
1271.824585,1.76107,0.0
1275.237305,1.761173,0.0
1278.650635,1.761277,0.0
1282.064697,1.761384,0.0
1285.479248,1.761493,0.0
1288.894287,1.761604,0.0
1292.310181,1.761717,0.0
1295.726563,1.761832,0.0
1299.143555,1.761948,0.0
1302.561157,1.762067,0.0
1305.97937,1.762188,0.0
1309.398193,1.762311,0.0
1312.817749,1.762435,0.0
1316.237915,1.762562,0.0
1319.658569,1.76269,0.0
1323.079834,1.762821,0.0
1326.501831,1.762953,0.0
1329.924316,1.763087,0.0
1333.347534,1.763223,0.0
1336.77124,1.763361,0.0
1340.195679,1.7635,0.0
1343.620728,1.763641,0.0
1347.046387,1.763784,0.0
1350.472656,1.763929,0.0
1353.899536,1.764076,0.0
1357.326904,1.764224,0.0
1360.755127,1.764374,0.0
1364.183838,1.764526,0.0
1367.613037,1.76468,0.0
1371.043091,1.764835,0.0
1374.473633,1.764992,0.0
1377.904785,1.765151,0.0
1381.336548,1.765311,0.0
1384.768921,1.765473,0.0
1388.201904,1.765636,0.0
1391.63562,1.765802,0.0
1395.069946,1.765969,0.0
1398.504761,1.766137,0.0
1401.940186,1.766307,0.0
1405.376343,1.766479,0.0
1408.81311,1.766652,0.0
1412.250488,1.766827,0.0
1415.688354,1.767003,0.0
1419.126953,1.767181,0.0
1422.566162,1.767361,0.0
1426.005981,1.767542,0.0
1429.446411,1.767724,0.0
1432.887451,1.767908,0.0
1436.329102,1.768094,0.0
1439.771362,1.768281,0.0
1443.214233,1.768469,0.0
1446.657837,1.76866,0.0
1450.101929,1.768851,0.0
1453.546631,1.769044,0.0
1456.992065,1.769239,0.0
1460.43811,1.769434,0.0
1463.884644,1.769632,0.0
1467.331787,1.769831,0.0
1470.779663,1.770031,0.0
1474.228149,1.770232,0.0
1477.677246,1.770436,0.0
1481.126953,1.77064,0.0
1484.577271,1.770846,0.0
1488.028076,1.771053,0.0
1491.479736,1.771262,0.0
1494.931885,1.771472,0.0
1498.384644,1.771683,0.0
1501.838135,1.771896,0.0
1505.292114,1.77211,0.0
1508.746704,1.772326,0.0
1512.201904,1.772542,0.0
1515.657837,1.77276,0.0
1519.11438,1.77298,0.0
1522.571533,1.773201,0.0
1526.029175,1.773423,0.0
1529.487549,1.773646,0.0
1532.946533,1.773871,0.0
1536.406006,1.774097,0.0
1539.866333,1.774324,0.0
1543.327148,1.774553,0.0
1546.788574,1.774783,0.0
1550.250732,1.775014,0.0
1553.713257,1.775246,0.0
1557.176636,1.77548,0.0
1560.640503,1.775715,0.0
1564.105103,1.775951,0.0
1567.57019,1.776189,0.0
1571.036011,1.776427,0.0
1574.502441,1.776667,0.0
1577.969482,1.776909,0.0
1581.437134,1.777151,0.0
1584.905396,1.777395,0.0
1588.374268,1.777639,0.0
1591.84375,1.777885,0.0
1595.313843,1.778133,0.0
1598.784546,1.778381,0.0
1602.255981,1.778631,0.0
1605.727905,1.778882,0.0
1609.200439,1.779134,0.0
1612.673706,1.779387,0.0
1616.147583,1.779642,0.0
1619.62207,1.779897,0.0
1623.097046,1.780154,0.0
1626.572876,1.780412,0.0
1630.049072,1.780671,0.0
1633.526123,1.780931,0.0
1637.003662,1.781193,0.0
1640.481812,1.781455,0.0
1643.960571,1.781719,0.0
1647.440063,1.781984,0.0
1650.920166,1.78225,0.0
1654.400757,1.782517,0.0
1657.88208,1.782785,0.0
1661.363892,1.783054,0.0
1664.846436,1.783325,0.0
1668.329712,1.783597,0.0
1671.813477,1.783869,0.0
1675.297852,1.784143,0.0
1678.782837,1.784418,0.0
1682.268311,1.784694,0.0
1685.754639,1.784971,0.0
1689.241577,1.785249,0.0
