Opt. Cauchy of FusedSilica vs. nm,,
nm,n,k
200,1.5104475000000002,-0.0
201,1.510771175500471,-0.0
202,1.5110712845667393,-0.0
203,1.511348748223012,-0.0
204,1.51160445164157,-0.0
205,1.511839245640378,-0.0
206,1.5120539481125876,-0.0
207,1.5122493453913075,-0.0
208,1.5124261935528343,-0.0
209,1.5125852196613616,-0.0
210,1.5127271229580268,-0.0
211,1.5128525759970082,-0.0
212,1.5129622257312325,-0.0
213,1.5130566945501254,-0.0
214,1.5131365812717115,-0.0
215,1.513202462091242,-0.0
216,1.513254891488425,-0.0
217,1.5132944030952191,-0.0
218,1.5133215105260547,-0.0
219,1.51333670817225,-0.0
220,1.5133404719622976,-0.0
221,1.513333260089616,-0.0
222,1.5133155137092753,-0.0
223,1.5132876576051348,-0.0
224,1.5132501008287564,-0.0
225,1.5132032373113855,-0.0
226,1.5131474464502372,-0.0
227,1.513083093670252,-0.0
228,1.5130105309624355,-0.0
229,1.5129300973998452,-0.0
230,1.5128421196322197,-0.0
231,1.5127469123602202,-0.0
232,1.512644778790184,-0.0
233,1.5125360110702657,-0.0
234,1.512420890708785,-0.0
235,1.5122996889755704,-0.0
236,1.512172667287044,-0.0
237,1.5120400775757623,-0.0
238,1.5119021626450921,-0.0
239,1.511759156509663,-0.0
240,1.5116112847222223,-0.0
241,1.5114587646874678,-0.0
242,1.5113018059634302,-0.0
243,1.5111406105509304,-0.0
244,1.5109753731716262,-0.0
245,1.5108062815351304,-0.0
246,1.5106335165956672,-0.0
247,1.5104572527987072,-0.0
248,1.5102776583180026,-0.0
249,1.5100948952834263,-0.0
250,1.50990912,-0.0
251,1.5097204831584787,-0.0
252,1.5095291300378388,-0.0
253,1.5093352007000105,-0.0
254,1.5091388301771707,-0.0
255,1.5089401486519027,-0.0
256,1.508739281630516,-0.0
257,1.5085363501098057,-0.0
258,1.5083314707375155,-0.0
259,1.508124755966766,-0.0
260,1.5079163142046847,-0.0
261,1.5077062499554774,-0.0
262,1.5074946639581612,-0.0
263,1.5072816533191746,-0.0
264,1.5070673116400672,-0.0
265,1.5068517291404668,-0.0
266,1.5066349927765108,-0.0
267,1.5064171863549187,-0.0
268,1.506198390642883,-0.0
269,1.5059786834739357,-0.0
270,1.505758139849955,-0.0
271,1.5055368320394589,-0.0
272,1.505314829672328,-0.0
273,1.505092199831105,-0.0
274,1.504869007138992,-0.0
275,1.504645313844683,-0.0
276,1.5044211799041443,-0.0
277,1.5041966630594692,-0.0
278,1.5039718189149118,-0.0
279,1.5037467010102086,-0.0
280,1.5035213608912954,-0.0
281,1.5032958481785115,-0.0
282,1.5030702106323937,-0.0
283,1.5028444942171422,-0.0
284,1.5026187431618556,-0.0
285,1.5023930000196097,-0.0
286,1.502167305724468,-0.0
