Opt. Const. of SiO2 vs. nm,,
nm,n,k
247.357712,1.513734,0.012936
248.939362,1.512859,0.012553
250.521072,1.512001,0.012186
252.102859,1.511159,0.011835
253.684723,1.510333,0.011497
255.266678,1.509522,0.011174
256.848694,1.508726,0.010863
258.430786,1.507944,0.010564
260.012939,1.507177,0.010277
261.595184,1.506423,0.010002
263.17749,1.505683,0.009736
264.759857,1.504956,0.009481
266.342346,1.504242,0.009236
267.924866,1.503541,0.008999
269.507477,1.502852,0.008772
271.090149,1.502175,0.008552
272.672882,1.501509,0.008341
274.255676,1.500855,0.008137
275.838562,1.500213,0.00794
277.421509,1.499581,0.007751
279.004547,1.49896,0.007568
280.587616,1.498349,0.007391
282.170776,1.497749,0.00722
283.753998,1.497158,0.007055
285.33728,1.496578,0.006895
286.920654,1.496007,0.006741
288.504089,1.495445,0.006592
290.087555,1.494892,0.006448
291.671112,1.494349,0.006308
293.25473,1.493814,0.006173
294.838409,1.493288,0.006043
296.42218,1.49277,0.005916
298.005981,1.49226,0.005793
299.589844,1.491759,0.005674
301.173767,1.491265,0.005559
302.757782,1.490779,0.005447
304.341858,1.4903,0.005339
305.925964,1.489829,0.005234
307.510162,1.489365,0.005132
309.094391,1.488909,0.005033
310.67868,1.488459,0.004936
312.263062,1.488016,0.004843
313.847473,1.48758,0.004752
315.431946,1.48715,0.004664
317.01651,1.486726,0.004579
318.601105,1.486309,0.004495
320.18573,1.485898,0.004415
321.770447,1.485494,0.004336
323.355225,1.485095,0.004259
324.940063,1.484702,0.004185
326.524963,1.484314,0.004112
328.109863,1.483932,0.004042
329.694885,1.483556,0.003973
331.279907,1.483185,0.003906
332.865021,1.482819,0.003841
334.450165,1.482459,0.003778
336.03537,1.482103,0.003716
337.620636,1.481753,0.003656
339.205933,1.481407,0.003597
340.791321,1.481066,0.00354
342.376709,1.48073,0.003484
343.962189,1.480399,0.00343
345.547699,1.480072,0.003377
347.13324,1.479749,0.003325
348.718872,1.479431,0.003274
350.304535,1.479118,0.003225
351.890259,1.478808,0.003177
353.476013,1.478503,0.00313
355.061829,1.478201,0.003084
356.647675,1.477904,0.003039
358.233582,1.477611,0.002995
359.81955,1.477321,0.002953
361.405548,1.477035,0.002911
362.991577,1.476753,0.00287
364.577698,1.476475,0.00283
366.163818,1.4762,0.002791
367.749969,1.475929,0.002753
369.336212,1.475661,0.002715
370.922485,1.475397,0.002679
372.508789,1.475136,0.002643
374.095154,1.474878,0.002608
375.681519,1.474624,0.002574
377.267975,1.474373,0.002541
378.854431,1.474125,0.002508
380.440979,1.47388,0.002476
382.027527,1.473638,0.002444
383.614105,1.473399,0.002414
385.200745,1.473163,0.002384
386.787445,1.47293,0.002354
388.374146,1.4727,0.002325
389.960907,1.472472,0.002297
391.547699,1.472247,0.002269
393.134552,1.472026,0.002242
394.721405,1.471806,0.002215
396.308289,1.47159,0.002189
397.895264,1.471375,0.002164
399.482239,1.471164,0.002138
401.069244,1.470955,0.002114
402.656311,1.470748,0.00209
404.243378,1.470544,0.002066
405.830505,1.470342,0.002043
407.417664,1.470143,0.00202
409.004822,1.469946,0.001998
410.592041,1.469751,0.001976
412.179291,1.469558,0.001954
413.766541,1.469368,0.001933
415.353912,1.46918,0.001912
416.941223,1.468993,0.001892
418.528625,1.468809,0.001872
420.116028,1.468628,0.001852
421.703461,1.468448,0.001833
423.290924,1.46827,0.001814
424.878418,1.468094,0.001795
426.465912,1.46792,0.001777
428.053467,1.467748,0.001759
429.641052,1.467578,0.001741
431.228668,1.46741,0.001724
432.816315,1.467244,0.001707
434.403961,1.467079,0.00169
435.991638,1.466916,0.001674
437.579346,1.466755,0.001657
439.167084,1.466596,0.001642
440.754822,1.466439,0.001626
442.342621,1.466283,0.00161
443.93042,1.466129,0.001595
445.51825,1.465976,0.00158
447.10611,1.465825,0.001566
448.694,1.465676,0.001551
450.281891,1.465528,0.001537
451.869812,1.465382,0.001523
453.457764,1.465237,0.001509
455.045715,1.465094,0.001496
456.633698,1.464953,0.001483
458.22168,1.464812,0.001469
459.809723,1.464674,0.001457
461.397766,1.464536,0.001444
462.98584,1.4644,0.001431
464.573883,1.464266,0.001419
466.162018,1.464133,0.001407
467.750092,1.464001,0.001395
469.338226,1.463871,0.001383
470.926361,1.463741,0.001372
472.514557,1.463614,0.00136
474.102722,1.463487,0.001349
475.690918,1.463362,0.001338
477.279144,1.463238,0.001327
478.86734,1.463115,0.001316
480.455566,1.462993,0.001306
482.043854,1.462873,0.001295
483.632141,1.462754,0.001285
485.220367,1.462636,0.001275
486.808685,1.462519,0.001265
488.396973,1.462403,0.001255
489.985291,1.462288,0.001245
491.573578,1.462175,0.001236
493.161957,1.462063,0.001226
494.750305,1.461951,0.001217
496.338623,1.461841,0.001208
497.927002,1.461732,0.001199
499.515381,1.461624,0.00119
501.10376,1.461516,0.001181
502.692139,1.46141,0.001173
504.280518,1.461305,0.001164
505.868958,1.461201,0.001156
507.457336,1.461098,0.001147
509.045746,1.460996,0.001139
510.634186,1.460894,0.001131
512.222595,1.460794,0.001123
513.811035,1.460695,0.001115
515.399475,1.460596,0.001107
516.987915,1.460498,0.0011
518.576355,1.460402,0.001092
520.164795,1.460306,0.001084
521.753296,1.460211,0.001077
523.341675,1.460117,0.00107
524.930176,1.460024,0.001063
526.518677,1.459931,0.001055
528.107056,1.45984,0.001048
529.695557,1.459749,0.001041
531.283997,1.459659,0.001035
532.872437,1.45957,0.001028
534.460938,1.459482,0.001021
536.049377,1.459394,0.001015
537.637817,1.459308,0.001008
539.226257,1.459222,0.001002
540.814758,1.459136,0.000995
542.403198,1.459052,0.000989
543.991638,1.458968,0.000983
545.580078,1.458885,0.000977
547.168518,1.458803,0.000971
548.756958,1.458722,0.000965
550.345337,1.458641,0.000959
551.933777,1.45856,0.000953
553.522217,1.458481,0.000947
555.110657,1.458402,0.000941
556.699036,1.458324,0.000936
558.287476,1.458247,0.00093
559.875854,1.45817,0.000925
561.464233,1.458094,0.000919
563.052612,1.458018,0.000914
564.640991,1.457943,0.000908
566.229309,1.457869,0.000903
567.817688,1.457796,0.000898
569.406006,1.457723,0.000893
570.994324,1.45765,0.000888
572.582642,1.457578,0.000883
574.170959,1.457507,0.000878
575.759216,1.457437,0.000873
577.347534,1.457367,0.000868
578.935791,1.457297,0.000863
580.524048,1.457228,0.000858
582.112305,1.45716,0.000854
583.700562,1.457092,0.000849
585.288757,1.457025,0.000844
586.876953,1.456958,0.00084
588.465149,1.456892,0.000835
590.053345,1.456827,0.000831
591.641479,1.456762,0.000827
593.229614,1.456697,0.000822
594.817749,1.456633,0.000818
596.405823,1.45657,0.000814
597.993958,1.456507,0.000809
599.58197,1.456444,0.000805
601.170044,1.456382,0.000801
602.758057,1.456321,0.000797
604.346069,1.456259,0.000793
605.934082,1.456199,0.000789
607.522095,1.456139,0.000785
609.109985,1.456079,0.000781
610.697937,1.45602,0.000777
612.285828,1.455961,0.000773
613.873718,1.455903,0.000769
615.461609,1.455846,0.000766
617.049438,1.455788,0.000762
618.637268,1.455731,0.000758
620.225037,1.455675,0.000755
621.812866,1.455619,0.000751
623.400574,1.455563,0.000747
624.988342,1.455508,0.000744
